shot_id,sequence,story_beat,duration_sec,aspect_ratio,location,character_stage_lock,start_frame,end_frame,camera,action,lighting,continuity_lock,prompt_path,status,video_unit_id,video_unit_type,keyframe_role,unit_prompt_path,transition_in_edges,transition_out_edges,previs_strategy,whitebox_required
OP_SHOT_001,REF003_FULL_OP,黑场/云层淡入,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_SKY_FADEIN,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:00.00,Next reference beat 00:01.50,"fade from black into bright cloud plate, then reveal blue sky opening","Black frame or very dark fade beginning into luminous cloud texture, no subject yet.",bright daylight emerging from black,建立天空舞台，为白鸟入画预留空间；不要提前出现标题、人物或飞机。,07_shots/prompts/OP_SHOT_001.md,generated_reference003_qa_pass,VU_REF003_001_BLACK_CLOUD_FADEIN,fadein_establishing_pair,图1 / black_to_cloud_start,07_shots/video_prompts_by_unit/VU_REF003_001_BLACK_CLOUD_FADEIN.md,,TE_REF003_001_001_TO_002,script_unit_prompt_first,false
OP_SHOT_002,REF003_FULL_OP,云层蓝天显现,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_SKY_FADEIN,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:01.50,Next reference beat 00:02.50,"fade from black into bright cloud plate, then reveal blue sky opening","Bright white cloud mass opens into saturated blue sky, no bird yet.",bright daylight emerging from black,建立天空舞台，为白鸟入画预留空间；不要提前出现标题、人物或飞机。,07_shots/prompts/OP_SHOT_002.md,generated_reference003_qa_pass,VU_REF003_001_BLACK_CLOUD_FADEIN,fadein_establishing_pair,图2 / bright_cloud_sky_reveal,07_shots/video_prompts_by_unit/VU_REF003_001_BLACK_CLOUD_FADEIN.md,TE_REF003_001_001_TO_002,TE_REF003_002_002_TO_003,script_unit_prompt_first,false
OP_SHOT_003,REF003_FULL_OP,白鸟首次入画,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_WHITE_BIRD,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:02.50,Next reference beat 00:05.00,locked/gentle follow on bird crossing blue sky,"White bird enters the blue sky after the cloud fade-in, wings open and readable.",clean daylight,同一只白鸟连续运动；原片字幕区域在生成版变成干净天空。,07_shots/prompts/OP_SHOT_003.md,generated_reference003_qa_pass,VU_REF003_002_WHITE_BIRD_SKY,single_subject_motion_sequence,图1 / bird_entry,07_shots/video_prompts_by_unit/VU_REF003_002_WHITE_BIRD_SKY.md,TE_REF003_002_002_TO_003,TE_REF003_003_003_TO_004,script_unit_prompt_first,false
OP_SHOT_004,REF003_FULL_OP,白鸟滑翔延续,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_WHITE_BIRD,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:05.00,Next reference beat 00:07.50,locked/gentle follow on bird crossing blue sky,"The same white bird glides farther through saturated blue sky, no aircraft.",clean daylight,同一只白鸟连续运动；原片字幕区域在生成版变成干净天空。,07_shots/prompts/OP_SHOT_004.md,generated_reference003_qa_pass,VU_REF003_002_WHITE_BIRD_SKY,single_subject_motion_sequence,图2 / bird_glide,07_shots/video_prompts_by_unit/VU_REF003_002_WHITE_BIRD_SKY.md,TE_REF003_003_003_TO_004,TE_REF003_004_004_TO_005,script_unit_prompt_first,false
OP_SHOT_005,REF003_FULL_OP,无字职员表安全位,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_CREDIT_SAFE_SKY,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:07.50,Next reference beat 00:11.50,mostly locked sky hold with bird drift and cloud bank growth,"Small white bird over clean blue sky with large center negative space, replacing credits with no text.",even blue daylight,用无字留白替代职员表；云层从边缘进入并逐渐占据画面。,07_shots/prompts/OP_SHOT_005.md,generated_reference003_qa_pass,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,title_safe_bird_cloud_sequence,图1 / no_text_credit_safe_bird,07_shots/video_prompts_by_unit/VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS.md,TE_REF003_004_004_TO_005,TE_REF003_005_005_TO_006,script_unit_prompt_first,false
OP_SHOT_006,REF003_FULL_OP,云层增长填画,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_CREDIT_SAFE_SKY,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:11.50,Next reference beat 00:15.00,mostly locked sky hold with bird drift and cloud bank growth,Large bright cloud bank grows into frame while the bird becomes small or exits.,even blue daylight,用无字留白替代职员表；云层从边缘进入并逐渐占据画面。,07_shots/prompts/OP_SHOT_006.md,generated_reference003_qa_pass,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,title_safe_bird_cloud_sequence,图2 / cloud_bank_growth,07_shots/video_prompts_by_unit/VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS.md,TE_REF003_005_005_TO_006,TE_REF003_006_006_TO_007,script_unit_prompt_first,false
OP_SHOT_007,REF003_FULL_OP,飞行器短露,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_AIRCRAFT_REVEAL,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:15.00,Next reference beat 00:18.50,brief reveal from cloud/wing edge to small aircraft in sky,"Jean-style handmade retro aircraft or wing flashes briefly through clouded sky, scale controlled.",bright sky,短露即可，避免飞行器抢戏；最终视频前需要比例/轴线检查。,07_shots/prompts/OP_SHOT_007.md,generated_reference003_qa_pass,VU_REF003_004_AIRCRAFT_BRIEF_REVEAL,brief_spatial_reveal,图1 / aircraft_brief_reveal,07_shots/video_prompts_by_unit/VU_REF003_004_AIRCRAFT_BRIEF_REVEAL.md,TE_REF003_006_006_TO_007,TE_REF003_007_007_TO_008,blender_or_whitebox_first,true
OP_SHOT_008,REF003_FULL_OP,主标题无字安全位,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_TITLE_SAFE,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:18.50,Next reference beat 00:23.00,locked or subtle drifting sky hold,"Clean blue sky and diagonal cloud band where the original title sits, but completely text-free.",bright blue sky,不得生成原片标题或任何文字；只保留“这里是标题位”的构图功能。,07_shots/prompts/OP_SHOT_008.md,generated_reference003_qa_pass,VU_REF003_005_MAIN_TITLE_SAFE_HOLD,no_text_title_safe_hold,图1 / main_title_safe_no_text,07_shots/video_prompts_by_unit/VU_REF003_005_MAIN_TITLE_SAFE_HOLD.md,TE_REF003_007_007_TO_008,TE_REF003_008_008_TO_009,script_unit_prompt_first,false
OP_SHOT_009,REF003_FULL_OP,太阳光线转场,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_SUN_FLARE,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:23.00,Next reference beat 00:24.50,locked sky insert with sun bloom,Bright sun flare over clean blue sky prepares the cut to Nadia.,strong daylight flare,太阳光是进入人物段的切点，不要写入文字。,07_shots/prompts/OP_SHOT_009.md,generated_reference003_qa_pass,VU_REF003_006_SUN_FLARE_TO_NADIA,light_transition_insert,图1 / sun_flare_transition,07_shots/video_prompts_by_unit/VU_REF003_006_SUN_FLARE_TO_NADIA.md,TE_REF003_008_008_TO_009,TE_REF003_009_009_TO_010,script_unit_prompt_first,false
OP_SHOT_010,REF003_FULL_OP,Nadia 侧脸入场,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_NADIA_ENTRY,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:24.50,Next reference beat 00:27.00,small portrait hold and push/angle shift,"Age-appropriate Nadia C-version in side/profile close-up after the sun transition, sky behind.",bright sky bounce,Nadia C 版锁定，14 岁、安全、保守；保留侧脸入场节奏。,07_shots/prompts/OP_SHOT_010.md,generated_reference003_qa_pass,VU_REF003_007_NADIA_PROFILE_ENTRY,character_profile_sequence,图1 / Nadia_profile,07_shots/video_prompts_by_unit/VU_REF003_007_NADIA_PROFILE_ENTRY.md,TE_REF003_009_009_TO_010,TE_REF003_010_010_TO_011,script_unit_prompt_first,false
OP_SHOT_011,REF003_FULL_OP,Nadia 正面近景,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_NADIA_ENTRY,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:27.00,Next reference beat 00:29.00,small portrait hold and push/angle shift,"Nadia turns into a closer bright expression, Blue Water identity detail may be visible, non-sexualized.",bright sky bounce,Nadia C 版锁定，14 岁、安全、保守；保留侧脸入场节奏。,07_shots/prompts/OP_SHOT_011.md,generated_reference003_qa_pass,VU_REF003_007_NADIA_PROFILE_ENTRY,character_profile_sequence,图2 / Nadia_close,07_shots/video_prompts_by_unit/VU_REF003_007_NADIA_PROFILE_ENTRY.md,TE_REF003_010_010_TO_011,TE_REF003_011_011_TO_012,script_unit_prompt_first,false
OP_SHOT_012,REF003_FULL_OP,Jean 入场,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_JEAN_INTRO,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:29.00,Next reference beat 00:31.50,hat brim/face reveal with small gesture,"Jean, 14-year-old French inventor boy, looks up from under a blue cap with round glasses and red bow tie.",bright outdoor daylight,Jean 保持 14 岁少年发明家，不要成人化。,07_shots/prompts/OP_SHOT_012.md,generated_reference003_qa_pass,VU_REF003_008_JEAN_INTRO,character_intro_pair,图1 / Jean_hat_face,07_shots/video_prompts_by_unit/VU_REF003_008_JEAN_INTRO.md,TE_REF003_011_011_TO_012,TE_REF003_012_012_TO_013,script_unit_prompt_first,false
OP_SHOT_013,REF003_FULL_OP,Marie 与 King 草地笑点,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_MARIE_KING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:31.50,Next reference beat 00:34.00,low meadow hold with small playful motion,"Marie and small lion cub King in a bright meadow, playful and child-safe.",bright daylight meadow,儿童安全、可爱明亮；不生成字幕。,07_shots/prompts/OP_SHOT_013.md,generated_reference003_qa_pass,VU_REF003_009_MARIE_KING_MEADOW,child_animal_meadow_gag,图1 / Marie_King_meadow,07_shots/video_prompts_by_unit/VU_REF003_009_MARIE_KING_MEADOW.md,TE_REF003_012_012_TO_013,TE_REF003_013_013_TO_014,script_unit_prompt_first,false
OP_SHOT_014,REF003_FULL_OP,Marie 与 King 近景,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_MARIE_KING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:34.00,Next reference beat 00:35.50,low meadow hold with small playful motion,"Cheerful close character beat for Marie and King, safe and non-threatening.",bright daylight meadow,儿童安全、可爱明亮；不生成字幕。,07_shots/prompts/OP_SHOT_014.md,generated_reference003_qa_pass,VU_REF003_009_MARIE_KING_MEADOW,child_animal_meadow_gag,图2 / Marie_King_close,07_shots/video_prompts_by_unit/VU_REF003_009_MARIE_KING_MEADOW.md,TE_REF003_013_013_TO_014,TE_REF003_014_014_TO_015,script_unit_prompt_first,false
OP_SHOT_015,REF003_FULL_OP,Grandis 三人组宽景,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_GRANDIS_TRIO,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:35.50,Next reference beat 00:37.00,hard beat cuts and small theatrical pose shifts,"Grandis, Sanson, and Hanson pose theatrically in a live-action period setting.",bright outdoor showy light,成人三人组可夸张但要真人化，不混入儿童段。,07_shots/prompts/OP_SHOT_015.md,generated_reference003_qa_pass,VU_REF003_010_GRANDIS_TRIO_INTRO,adult_trio_intro_montage,图1 / Grandis_trio_wide,07_shots/video_prompts_by_unit/VU_REF003_010_GRANDIS_TRIO_INTRO.md,TE_REF003_014_014_TO_015,TE_REF003_015_015_TO_016,script_unit_prompt_first,false
OP_SHOT_016,REF003_FULL_OP,Grandis 三人组近景,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_GRANDIS_TRIO,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:37.00,Next reference beat 00:38.00,hard beat cuts and small theatrical pose shifts,"Close energetic character beat for the adult trio, playful but grounded.",bright outdoor showy light,成人三人组可夸张但要真人化，不混入儿童段。,07_shots/prompts/OP_SHOT_016.md,generated_reference003_qa_pass,VU_REF003_010_GRANDIS_TRIO_INTRO,adult_trio_intro_montage,图2 / Grandis_trio_close,07_shots/video_prompts_by_unit/VU_REF003_010_GRANDIS_TRIO_INTRO.md,TE_REF003_015_015_TO_016,TE_REF003_016_016_TO_017,script_unit_prompt_first,false
OP_SHOT_017,REF003_FULL_OP,Nadia 奔跑脚步,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_RUNNING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:38.00,Next reference beat 00:39.50,hard beat cuts with matching left-right run energy,"Nadia running feet/legs beat with sky background, modest costume, no body emphasis.",bright sky/plaza daylight,保持奔跑方向和节拍，禁止平滑成一镜到底。,07_shots/prompts/OP_SHOT_017.md,generated_reference003_qa_pass,VU_REF003_011_RUNNING_MONTAGE,running_montage_sequence,图1 / Nadia_run_feet,07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md,TE_REF003_016_016_TO_017,TE_REF003_017_017_TO_018,script_unit_prompt_first,false
OP_SHOT_018,REF003_FULL_OP,Nadia 奔跑正面,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_RUNNING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:39.50,Next reference beat 00:41.50,hard beat cuts with matching left-right run energy,"Nadia running front/upper-body beat, determined and age-safe.",bright sky/plaza daylight,保持奔跑方向和节拍，禁止平滑成一镜到底。,07_shots/prompts/OP_SHOT_018.md,generated_reference003_qa_pass,VU_REF003_011_RUNNING_MONTAGE,running_montage_sequence,图2 / Nadia_run_front,07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md,TE_REF003_017_017_TO_018,TE_REF003_018_018_TO_019,script_unit_prompt_first,false
OP_SHOT_019,REF003_FULL_OP,Jean 奔跑,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_RUNNING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:41.50,Next reference beat 00:43.50,hard beat cuts with matching left-right run energy,"Jean runs with cap/glasses and inventor outfit, matching the run direction.",bright sky/plaza daylight,保持奔跑方向和节拍，禁止平滑成一镜到底。,07_shots/prompts/OP_SHOT_019.md,generated_reference003_qa_pass,VU_REF003_011_RUNNING_MONTAGE,running_montage_sequence,图3 / Jean_run,07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md,TE_REF003_018_018_TO_019,TE_REF003_019_019_TO_020,script_unit_prompt_first,false
OP_SHOT_020,REF003_FULL_OP,Marie 奔跑,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_RUNNING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:43.50,Next reference beat 00:45.50,hard beat cuts with matching left-right run energy,"Marie runs with King nearby, playful and child-safe.",bright sky/plaza daylight,保持奔跑方向和节拍，禁止平滑成一镜到底。,07_shots/prompts/OP_SHOT_020.md,generated_reference003_qa_pass,VU_REF003_011_RUNNING_MONTAGE,running_montage_sequence,图4 / Marie_run,07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md,TE_REF003_019_019_TO_020,TE_REF003_020_020_TO_021,script_unit_prompt_first,false
OP_SHOT_021,REF003_FULL_OP,全员奔跑,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_RUNNING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:45.50,Next reference beat 00:47.50,hard beat cuts with matching left-right run energy,Core group runs together across a grassy ridge or open bright landscape.,bright sky/plaza daylight,保持奔跑方向和节拍，禁止平滑成一镜到底。,07_shots/prompts/OP_SHOT_021.md,generated_reference003_qa_pass,VU_REF003_011_RUNNING_MONTAGE,running_montage_sequence,图5 / group_run,07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md,TE_REF003_020_020_TO_021,TE_REF003_021_021_TO_022,script_unit_prompt_first,false
OP_SHOT_022,REF003_FULL_OP,Jean 反应近景,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_RUNNING,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:47.50,Next reference beat 00:48.00,hard beat cuts with matching left-right run energy,"Jean close reaction on the running beat, still part of the montage.",bright sky/plaza daylight,保持奔跑方向和节拍，禁止平滑成一镜到底。,07_shots/prompts/OP_SHOT_022.md,generated_reference003_qa_pass,VU_REF003_011_RUNNING_MONTAGE,running_montage_sequence,图6 / Jean_reaction_close,07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md,TE_REF003_021_021_TO_022,TE_REF003_022_022_TO_023,script_unit_prompt_first,false
OP_SHOT_023,REF003_FULL_OP,Grandis 动作桥,,4:3 source / 21:9 remake framing decision pending,SCN_REF003_VEHICLE_ACTION,BIBLE_OP_ACCURATE_REFERENCE003;BIBLE_NO_TEXT_LOGO;BIBLE_NADIA_C_SELECTED;BIBLE_JEAN_14,Reference time 00:48.00,Next reference beat 00:49.50,fast action cut from character energy to vehicle/air movement and group lineup,"Grandis and companions surge into an action beat, lively but live-action grounded.",bright sky/city,车辆/飞行器比例和方向要锁；不生成文字。,07_shots/prompts/OP_SHOT_023.md,generated_reference003_qa_pass,VU_REF003_012_GRANDIS_VEHICLE_ACTION,vehicle_action_bridge,图1 / Grandis_action_close,07_shots/video_prompts_by_unit/VU_REF003_012_GRANDIS_VEHICLE_ACTION.md,TE_REF003_022_022_TO_023,TE_REF003_023_023_TO_024,blender_or_whitebox_first,true
