panel_id,batch,clip,source_camera,selected_constraint_camera,constraint_whitebox_path,mother_style_reference,layout_focus,pose_or_path,mapping_note
MSB019,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,门帘晃动作为隐藏剪辑,uses source camera constraint
MSB020,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,三兄弟站在入口下方，室内低天花和两侧街机压住他们,站位保持阿磊前、小川中、小满后,uses source camera constraint
MSB021,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口,向前一步后停,uses source camera constraint
MSB022,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚,头部小幅转向街机,uses source camera constraint
MSB023,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小满靠近小川身后，只露半个身体，看向发光屏幕,抓衣角，跟半步,uses source camera constraint
MSB024,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,两排旧街机形成狭窄通道，远处有人影但不抢主体,slow dolly in,uses source camera constraint
MSB025,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_DETAIL_CONTROL_PANEL,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,固定近景,detail insert uses dedicated control-panel constraint
MSB026,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_CEILING_PRESSURE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_CEILING_PRESSURE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感,只允许烟雾轻动,atmosphere insert uses dedicated low-ceiling constraint
MSB027,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走,前进方向清楚,uses source camera constraint
MSB028,B01,03,CAM_ARCADE_01_ENTRANCE_WIDE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,远处一台街头霸王机器的屏幕更亮，像目标点,镜头停在机器方向,uses source camera constraint
MSB029,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_02_STREET_FIGHTER_CABINET,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,街头霸王街机占画面中心，屏幕和操作台磨损清楚,固定构图,uses source camera constraint
MSB030,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_02_STREET_FIGHTER_CABINET,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊站到操作位，手放在摇杆旁，下巴微扬,身体前倾，肩膀撑开,uses source camera constraint
MSB031,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_02_STREET_FIGHTER_CABINET,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小川站在阿磊侧后，红领巾被屏幕光照亮，手还抓书包带,不碰机器，只看,uses source camera constraint
MSB032,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_02_STREET_FIGHTER_CABINET,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小满只露出半张脸和浅色衬衫，躲在小川身后看屏幕,贴近小川,uses source camera constraint
MSB033,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_DETAIL_CONTROL_PANEL,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊的儿童手指放到彩色按钮上，袖口磨毛和按钮划痕同框,手开始操作前的准备,detail insert uses dedicated control-panel constraint
MSB034,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_02_STREET_FIGHTER_CABINET,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,彬子从机器另一侧进入画面，黄发梢和黑夹克先被看见,下巴前顶，靠近机器,uses source camera constraint
MSB035,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_02_STREET_FIGHTER_CABINET,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊和彬子分别站在机器两侧，屏幕在中间，身高差和气势差清楚,对战站位锁定,uses source camera constraint
MSB036,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_02_STREET_FIGHTER_CABINET,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小川看见彬子，笑意收住，眼睛从屏幕移到彬子脸上,头部小幅转移,uses source camera constraint
