asset_id,batch,asset_type,planned_path,source_panel,clip,clip_title,priority,source_camera,prompt_focus,status
MSB001_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB001_01_空镜压低视线.png,MSB001,01,老小区建立,A,CAM_COMPOUND_01_ESTABLISH,潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方,planned
MSB002_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB002_01_居民楼像迷宫.png,MSB002,01,老小区建立,A,CAM_COMPOUND_01_ESTABLISH,发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉,planned
MSB003_KEYFRAME,B01,keyframe,micro_storyboard_panels/B01/MSB003_01_门缝_CRT_光.png,MSB003,01,老小区建立,A,CAM_COMPOUND_01_ESTABLISH,一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚,planned
MSB004_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB004_01_旧招牌细节.png,MSB004,01,老小区建立,B,CAM_COMPOUND_01_ESTABLISH,旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落,planned
MSB005_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB005_01_楼道暗处.png,MSB005,01,老小区建立,B,CAM_COMPOUND_01_ESTABLISH,楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险,planned
MSB006_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB006_01_CRT_反光到水面.png,MSB006,01,老小区建立,B,CAM_COMPOUND_01_ESTABLISH,潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头,planned
MSB007_START_FRAME,B01,start_frame,micro_storyboard_panels/B01/MSB007_01_空间方向确认.png,MSB007,01,老小区建立,A,CAM_COMPOUND_01_ESTABLISH,从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线,planned
MSB008_END_FRAME,B01,end_frame,micro_storyboard_panels/B01/MSB008_01_等待人物进入.png,MSB008,01,老小区建立,A,CAM_COMPOUND_01_ESTABLISH,画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近,planned
MSB009_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB009_02_阿磊先进画.png,MSB009,02,三兄弟靠近,A,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊从画面左后方先出现，双手插兜，装作熟门熟路,planned
MSB010_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB010_02_小川跟半步.png,MSB010,02,三兄弟靠近,A,CAM_COMPOUND_02_BROTHERS_APPROACH,小川背浅绿色塌书包跟在半步后，两手攥书包带,planned
MSB011_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB011_02_小满贴最后.png,MSB011,02,三兄弟靠近,A,CAM_COMPOUND_02_BROTHERS_APPROACH,小满更小，浅色大衬衫，抓衣角，脚尖内扣地跟上,planned
MSB012_KEYFRAME,B01,keyframe,micro_storyboard_panels/B01/MSB012_02_三人身高差.png,MSB012,02,三兄弟靠近,A,CAM_COMPOUND_02_BROTHERS_APPROACH,三兄弟同框，阿磊高一头，小川中间，小满明显更小,planned
MSB013_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB013_02_阿磊回头催.png,MSB013,02,三兄弟靠近,B,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊半回头催弟弟，手背蹭鼻尖，小川抬眼看他,planned
MSB014_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB014_02_门口吸引小川.png,MSB014,02,三兄弟靠近,A,CAM_COMPOUND_02_BROTHERS_APPROACH,CRT 光照到小川眼睛和红领巾，小川嘴微张,planned
MSB015_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB015_02_小满被光吓到.png,MSB015,02,三兄弟靠近,B,CAM_COMPOUND_02_BROTHERS_APPROACH,小满在后面眨眼，抓衣角更紧，身体往小川背后缩,planned
MSB016_END_FRAME,B01,end_frame,micro_storyboard_panels/B01/MSB016_02_三人到门前.png,MSB016,02,三兄弟靠近,A,CAM_COMPOUND_02_BROTHERS_APPROACH,三兄弟停在门口，门缝光打到鞋尖，阿磊站最前,planned
MSB017_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB017_02_阿磊伸手.png,MSB017,02,三兄弟靠近,B,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊的手伸向脏门帘或门边，袖口磨毛清楚,planned
MSB018_KEYFRAME,B01,keyframe,micro_storyboard_panels/B01/MSB018_02_门帘前停顿.png,MSB018,02,三兄弟靠近,A,CAM_COMPOUND_02_BROTHERS_APPROACH,门帘在三兄弟面前轻晃，三张不同年龄的脸被 CRT 光分层照亮,planned
MSB019_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB019_03_门帘擦镜.png,MSB019,03,游戏厅入口,A,CAM_ARCADE_01_ENTRANCE_WIDE,脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,planned
MSB020_START_FRAME,B01,start_frame,micro_storyboard_panels/B01/MSB020_03_三兄弟入口剪影.png,MSB020,03,游戏厅入口,A,CAM_ARCADE_01_ENTRANCE_WIDE,三兄弟站在入口下方，室内低天花和两侧街机压住他们,planned
