panel_id,batch,shared_whitebox_panel,shared_cluster,separate_pure_image_required,reuse_reason,prompt_delta,planned_whitebox_path
MSB145,B05,MSB145,DUP001,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=电话亭/道具; micro_movement=微 push-in; story_focus=电话亭内旧电话和垂下电话线隐约可见; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B05/WB2_PHONE_MSB145.png
MSB148,B05,MSB145,DUP001,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=小川; micro_movement=慢慢前进; story_focus=暖白光先照到小川红领巾和脸下半部，眼睛仍在阴影里; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B05/WB2_PHONE_MSB148.png
MSB150,B05,MSB145,DUP001,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=小川/电话; micro_movement=头微转; story_focus=小川眼睛看向旧听筒，不看镜头，嘴唇半张; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B05/WB2_PHONE_MSB150.png
MSB151,B05,MSB151,DUP002,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=小川/道具; micro_movement=伸手-停-缩; story_focus=小川手伸向电话亭边缘又缩回一点，指尖颤; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B05/WB2_PHONE_MSB151.png
MSB153,B05,MSB154,ADJACENT,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=电话/道具; micro_movement=固定特写; story_focus=旧电话听筒轻微震动或铃声源头被强调，塑料旧化清楚; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B05/WB2_PHONE_MSB153.png
MSB154,B05,MSB153,ADJACENT,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=小川/电话; micro_movement=手悬停; story_focus=小川手悬在听筒旁，眼泪没落，呼吸压住; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B05/WB2_PHONE_MSB154.png
MSB155,B06,MSB145,DUP001,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=电话; micro_movement=fixed close-up; story_focus=旧电话听筒安静挂着，暖白光照出塑料划痕; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B06/WB2_PHONE_MSB155.png
MSB156,B06,MSB157,ADJACENT,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=小川/电话; micro_movement=手慢慢靠近; story_focus=小川的小手从下方进入画面，指尖犹豫; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B06/WB2_PHONE_MSB156.png
MSB157,B06,MSB156,ADJACENT,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=小川/电话; micro_movement=微颤; story_focus=指尖刚碰到旧听筒，手指发僵; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B06/WB2_PHONE_MSB157.png
MSB158,B06,MSB159,ADJACENT,yes,phone-booth micro action/light/electronicization can reuse the same whitebox,"subject=电话/小川; micro_movement=向上拿起; story_focus=听筒被轻轻拿起，底座弹起，电话线开始晃; keep the shared whitebox composition and environment anchors unchanged; only change the stated micro movement, expression, prop state, light cue, or UI state",whitebox_renders_v2/B06/WB2_PHONE_MSB158.png
