item_id,scene_id,beat,shot_type,frame_description,spatial_logic,image_prompt,video_prompt,notes,revision_note,sort_after,selected,status,output_path,references
ACT1_SHOT_001,SCN_COMPOUND,放学后偏离大路,远景 / establishing wide shot,傍晚的北方小城，旧居民楼压在灰色街道边。三个背书包的小朋友从放学人流边缘脱离，避开大路，朝居民楼背面走去。,,"Cinematic storyboard keyframe, 1990s northern Chinese small city after school, old concrete apartment blocks and dusty street, muted gray winter palette, three Chinese schoolchildren with worn backpacks quietly leaving the main road and heading toward the back corner of a residential building, cautious secretive body language, realistic film still, 35mm lens, natural dusk light, subtle film grain, clean composition, no modern cars, no smartphones, no readable text, no watermark","Wide observational shot: the school crowd thins out as three children peel away from the main road and move toward the old apartment corner, restrained suspense and everyday realism.",建立时代、地域和偷偷行动。游戏厅入口不要过早显眼，先让路线和氛围成立。,增加一个摄像机从高空俯瞰这座90年代小城的镜头,,True,image_ready,08_generation/jobs/IDEA_IMG_20260616_013841/outputs/001_ACT1_SHOT_001.png,[]
ACT1_SHOT_002,SCN_COMPOUND,沿墙根靠近隐藏入口,中远景 / tracking medium-wide shot,给一个两个孩子做着游戏中升龙拳和冲击波对打，哥哥在旁边看着笑的镜头,,"Cinematic film keyframe, three Chinese schoolchildren in 1990s school clothes sneaking along the wall of a shabby residential building, worn backpacks, old pipes, peeling paint, chipped concrete, one child glancing back nervously while another gestures to stay quiet, northern Chinese small-town realism, low handheld perspective, subdued colors, high-quality stable image, no modern objects, no random text, no watermark","Low tracking shot follows the children along the wall; one looks back, another hushes him, their footsteps small against the concrete.",鬼鬼祟祟但不要惊悚化，表情里要带着窃喜，哥哥在给弟弟讲游戏有多好玩，弟弟全神贯注的听着,,,True,image_ready,,"[{""ref_id"": ""WBX_20260616_024949"", ""asset_ref"": ""project:06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""asset_id"": ""WBX_20260616_024949"", ""path"": ""06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""origin"": ""project"", ""kind"": ""whitebox"", ""role"": ""replica_whitebox"", ""note"": ""高精度白模复刻：默认作为该分镜空间、机位、光照和人物动作参考 / high-fidelity replica whitebox for blocking, camera, lighting, and pose."", ""version_id"": """", ""version_status"": """", ""card_type"": """", ""card_id"": """", ""card_title"": """", ""usage_note"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。"", ""generation_guidance"": ""Whitebox guidance / 白模读取说明:\n- Use the whitebox image only for camera, composition, scale, blocking, pose, sightline, depth order, and main lighting direction.\n- Preserve the relative positions of characters and key set pieces; preserve major anchors such as door/window/opening height, wall edges, corridors, and foreground/background separation.\n- Do not copy gray clay materials, primitive cube/sphere/cylinder shapes, mannequin appearance, low-poly geometry, or clean 3D test-render look.\n- Convert the whitebox into the shot's requested cinematic world using the storyboard prompt, character references, scene references, era, materials, atmosphere, and art direction.\n- Negative constraint: no toy-like figures, no unfinished previs look, no blank gray surfaces unless explicitly requested, no random text, no watermark.\n- Source whitebox replica seed: ACT1_SHOT_003_SOURCE_KEYFRAME.\n- Replica intent / 复刻意图: 以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""whitebox_interpretation"": {""mode"": ""spatial_control_only"", ""source_asset_id"": ""ACT1_SHOT_003_SOURCE_KEYFRAME"", ""source_path"": ""08_generation/jobs/IDEA_IMG_20260616_013841/outputs/003_ACT1_SHOT_003.png"", ""replica_note"": ""以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""tags"": [""ACT01"", ""SCN_COMPOUND"", ""hidden_arcade_door"", ""peephole"", ""three_children"", ""1to1_replica""], ""use_for"": [""camera framing and lens/composition"", ""subject scale, blocking, pose, sightline, and depth order"", ""major set anchors such as doors, windows, corridors, walls, props, and openings"", ""main light direction, shadow rhythm, and scene readability""], ""preserve"": [""overall aspect ratio and camera angle"", ""relative positions between characters and key set pieces"", ""door/window/opening height and screen position when present"", ""foreground/midground/background separation""], ""ignore"": [""gray clay material"", ""primitive cube/sphere/cylinder shapes"", ""mannequin or toy-like character appearance"", ""unfinished low-poly geometry"", ""plain studio-white lighting unless the shot explicitly asks for it""], ""prompt_bridge"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。""}}]"
ACT1_SHOT_003,SCN_COMPOUND,旧门和猫眼出现,中景 / medium shot,居民楼一楼角落有一扇不起眼的旧金属门，门上有猫眼，没有正式招牌。三个孩子停在门前，压低声音等待。,,"Cinematic storyboard keyframe, hidden arcade entrance in the corner of an old Chinese residential building, 1990s northern small city, shabby closed metal door with a small peephole, no obvious signboard, three schoolchildren with backpacks standing on the left side whispering and looking secretive, cracked concrete wall, dim corridor shadow, realistic film still, strong readable composition, no modern signage, no readable text, no watermark",The children stop at the closed metal door; the camera settles on the small peephole while muffled arcade sounds barely leak through.,旧门+猫眼是第一幕核心视觉资产，门要普通、隐蔽、可信。,给一个手砸门的特写,,True,image_ready,08_generation/jobs/IDEA_IMG_20260616_013841/outputs/003_ACT1_SHOT_003.png,"[{""ref_id"": ""WBX_20260616_024949"", ""asset_ref"": ""project:06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""asset_id"": ""WBX_20260616_024949"", ""path"": ""06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""origin"": ""project"", ""kind"": ""whitebox"", ""role"": ""replica_whitebox"", ""note"": ""高精度白模复刻：默认作为该分镜空间、机位、光照和人物动作参考 / high-fidelity replica whitebox for blocking, camera, lighting, and pose."", ""version_id"": """", ""version_status"": """", ""card_type"": """", ""card_id"": """", ""card_title"": """", ""usage_note"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。"", ""generation_guidance"": ""Whitebox guidance / 白模读取说明:\n- Use the whitebox image only for camera, composition, scale, blocking, pose, sightline, depth order, and main lighting direction.\n- Preserve the relative positions of characters and key set pieces; preserve major anchors such as door/window/opening height, wall edges, corridors, and foreground/background separation.\n- Do not copy gray clay materials, primitive cube/sphere/cylinder shapes, mannequin appearance, low-poly geometry, or clean 3D test-render look.\n- Convert the whitebox into the shot's requested cinematic world using the storyboard prompt, character references, scene references, era, materials, atmosphere, and art direction.\n- Negative constraint: no toy-like figures, no unfinished previs look, no blank gray surfaces unless explicitly requested, no random text, no watermark.\n- Source whitebox replica seed: ACT1_SHOT_003_SOURCE_KEYFRAME.\n- Replica intent / 复刻意图: 以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""whitebox_interpretation"": {""mode"": ""spatial_control_only"", ""source_asset_id"": ""ACT1_SHOT_003_SOURCE_KEYFRAME"", ""source_path"": ""08_generation/jobs/IDEA_IMG_20260616_013841/outputs/003_ACT1_SHOT_003.png"", ""replica_note"": ""以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""tags"": [""ACT01"", ""SCN_COMPOUND"", ""hidden_arcade_door"", ""peephole"", ""three_children"", ""1to1_replica""], ""use_for"": [""camera framing and lens/composition"", ""subject scale, blocking, pose, sightline, and depth order"", ""major set anchors such as doors, windows, corridors, walls, props, and openings"", ""main light direction, shadow rhythm, and scene readability""], ""preserve"": [""overall aspect ratio and camera angle"", ""relative positions between characters and key set pieces"", ""door/window/opening height and screen position when present"", ""foreground/midground/background separation""], ""ignore"": [""gray clay material"", ""primitive cube/sphere/cylinder shapes"", ""mannequin or toy-like character appearance"", ""unfinished low-poly geometry"", ""plain studio-white lighting unless the shot explicitly asks for it""], ""prompt_bridge"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。""}}]"
ACT1_SHOT_004,SCN_COMPOUND,老板从猫眼确认熟人,猫眼特写 / peephole close-up,从门内猫眼视角看出去，三个孩子的脸被猫眼畸变压缩，紧张又期待。门内老板确认他们是熟客。,,"Cinematic close-up keyframe from inside a closed door peephole, fisheye peephole distortion, three Chinese schoolchildren with worn backpacks visible outside in a shabby apartment corner, nervous excited faces, 1990s northern China, faint green-blue arcade light around the peephole edge, realistic film texture, suspenseful but not horror, clean image, no text, no watermark, no modern objects","Peephole POV: the children shift slightly as they wait; muffled arcade noise grows behind the door, then a lock clicks.",用猫眼制造“被审查/被放行”的边界感。可后续关联孩子人设。,,,True,image_ready,08_generation/jobs/IDEA_IMG_20260616_013841/outputs/004_ACT1_SHOT_004.png,"[{""ref_id"": ""WBX_20260616_024949"", ""asset_ref"": ""project:06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""asset_id"": ""WBX_20260616_024949"", ""path"": ""06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""origin"": ""project"", ""kind"": ""whitebox"", ""role"": ""replica_whitebox"", ""note"": ""高精度白模复刻：默认作为该分镜空间、机位、光照和人物动作参考 / high-fidelity replica whitebox for blocking, camera, lighting, and pose."", ""version_id"": """", ""version_status"": """", ""card_type"": """", ""card_id"": """", ""card_title"": """", ""usage_note"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。"", ""generation_guidance"": ""Whitebox guidance / 白模读取说明:\n- Use the whitebox image only for camera, composition, scale, blocking, pose, sightline, depth order, and main lighting direction.\n- Preserve the relative positions of characters and key set pieces; preserve major anchors such as door/window/opening height, wall edges, corridors, and foreground/background separation.\n- Do not copy gray clay materials, primitive cube/sphere/cylinder shapes, mannequin appearance, low-poly geometry, or clean 3D test-render look.\n- Convert the whitebox into the shot's requested cinematic world using the storyboard prompt, character references, scene references, era, materials, atmosphere, and art direction.\n- Negative constraint: no toy-like figures, no unfinished previs look, no blank gray surfaces unless explicitly requested, no random text, no watermark.\n- Source whitebox replica seed: ACT1_SHOT_003_SOURCE_KEYFRAME.\n- Replica intent / 复刻意图: 以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""whitebox_interpretation"": {""mode"": ""spatial_control_only"", ""source_asset_id"": ""ACT1_SHOT_003_SOURCE_KEYFRAME"", ""source_path"": ""08_generation/jobs/IDEA_IMG_20260616_013841/outputs/003_ACT1_SHOT_003.png"", ""replica_note"": ""以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""tags"": [""ACT01"", ""SCN_COMPOUND"", ""hidden_arcade_door"", ""peephole"", ""three_children"", ""1to1_replica""], ""use_for"": [""camera framing and lens/composition"", ""subject scale, blocking, pose, sightline, and depth order"", ""major set anchors such as doors, windows, corridors, walls, props, and openings"", ""main light direction, shadow rhythm, and scene readability""], ""preserve"": [""overall aspect ratio and camera angle"", ""relative positions between characters and key set pieces"", ""door/window/opening height and screen position when present"", ""foreground/midground/background separation""], ""ignore"": [""gray clay material"", ""primitive cube/sphere/cylinder shapes"", ""mannequin or toy-like character appearance"", ""unfinished low-poly geometry"", ""plain studio-white lighting unless the shot explicitly asks for it""], ""prompt_bridge"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。""}}]"
ACT1_SHOT_005,SCN_COMPOUND,门缝打开，正对游戏厅内部,后脑门缝镜头 / rear doorway reveal,摄像机站在三个孩子身后，旧金属门在他们正前方打开一条缝。门内不是侧面或反方向，而是正对乌烟瘴气的游戏厅内部；蓝绿CRT光、烟雾和嘈杂声从孩子脸朝向的同一方向涌出来，老板只在门边露出手和半个身影。,镜头轴线：摄影机在孩子背后；孩子后脑/肩膀在前景，门和门内游戏厅在他们正前方。门内空间、孩子脸和视线必须同向。老板靠门边，不要挡住游戏厅纵深。,"Cinematic realism, 1990s northern Chinese small-town hidden arcade, smoky air, blue-green CRT glow, worn concrete, old bulky CRT arcade cabinets, muted film grain, no modern screens, no smartphone, no readable text, no watermark. Rear doorway reveal from behind three Chinese schoolboys with backpacks: their heads and shoulders in foreground, an old dark metal door opens directly in front of them, smoky arcade hall visible straight through the doorway, blue-green CRT light spilling toward camera, owner only a partial silhouette at the door edge. The children look forward into the arcade; do not show them facing away from the interior.","From behind the children, the lock clicks and the old door opens inward; smoke and CRT glow reveal the arcade straight ahead while the boys lean toward the same direction.",修正门内外方向：开门不是先看孩子正脸，而是先建立孩子背影、门、游戏厅内部在同一条轴线上。,,,True,image_ready,08_generation/jobs/IDEA_IMG_20260616_013841/outputs/005_ACT1_SHOT_005.png,"[{""ref_id"": ""WBX_20260616_024949"", ""asset_ref"": ""project:06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""asset_id"": ""WBX_20260616_024949"", ""path"": ""06_previs/whitebox_lab/jobs/WBX_20260616_024949/renders/WBX_20260616_024949_replica_whitebox.png"", ""origin"": ""project"", ""kind"": ""whitebox"", ""role"": ""replica_whitebox"", ""note"": ""高精度白模复刻：默认作为该分镜空间、机位、光照和人物动作参考 / high-fidelity replica whitebox for blocking, camera, lighting, and pose."", ""version_id"": """", ""version_status"": """", ""card_type"": """", ""card_id"": """", ""card_title"": """", ""usage_note"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。"", ""generation_guidance"": ""Whitebox guidance / 白模读取说明:\n- Use the whitebox image only for camera, composition, scale, blocking, pose, sightline, depth order, and main lighting direction.\n- Preserve the relative positions of characters and key set pieces; preserve major anchors such as door/window/opening height, wall edges, corridors, and foreground/background separation.\n- Do not copy gray clay materials, primitive cube/sphere/cylinder shapes, mannequin appearance, low-poly geometry, or clean 3D test-render look.\n- Convert the whitebox into the shot's requested cinematic world using the storyboard prompt, character references, scene references, era, materials, atmosphere, and art direction.\n- Negative constraint: no toy-like figures, no unfinished previs look, no blank gray surfaces unless explicitly requested, no random text, no watermark.\n- Source whitebox replica seed: ACT1_SHOT_003_SOURCE_KEYFRAME.\n- Replica intent / 复刻意图: 以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""whitebox_interpretation"": {""mode"": ""spatial_control_only"", ""source_asset_id"": ""ACT1_SHOT_003_SOURCE_KEYFRAME"", ""source_path"": ""08_generation/jobs/IDEA_IMG_20260616_013841/outputs/003_ACT1_SHOT_003.png"", ""replica_note"": ""以 ACT1_SHOT_003 为母图，尽量 1:1 复刻旧墙、暗金属门、猫眼、门把手、三名孩子在左侧等待的站位、眼线高度和画面比例；白模用于后续第一幕同场景改机位/光照/动作。"", ""tags"": [""ACT01"", ""SCN_COMPOUND"", ""hidden_arcade_door"", ""peephole"", ""three_children"", ""1to1_replica""], ""use_for"": [""camera framing and lens/composition"", ""subject scale, blocking, pose, sightline, and depth order"", ""major set anchors such as doors, windows, corridors, walls, props, and openings"", ""main light direction, shadow rhythm, and scene readability""], ""preserve"": [""overall aspect ratio and camera angle"", ""relative positions between characters and key set pieces"", ""door/window/opening height and screen position when present"", ""foreground/midground/background separation""], ""ignore"": [""gray clay material"", ""primitive cube/sphere/cylinder shapes"", ""mannequin or toy-like character appearance"", ""unfinished low-poly geometry"", ""plain studio-white lighting unless the shot explicitly asks for it""], ""prompt_bridge"": ""把白模只当作空间、机位、构图、人物站位、遮挡关系、动作和光照方向参考；不要复制灰色材质、积木形状、低模人偶或 3D 测试渲染质感。最终图必须按分镜提示词、角色参考和美术风格重建为电影级真实画面。""}}]"
ACT1_SHOT_006,SCN_ARCADE,后脑入场：游戏厅全景压过孩子,后脑跟拍广角 / rear-follow wide interior shot,摄像机贴在三个孩子后方跟进门内，先看到他们的后脑勺、书包和肩膀，再看到低矮拥挤的游戏厅全景：一排排旧CRT街机、低凳、年轻围观者和烟雾都在孩子正前方。此时不要急着给正脸表情。,入场空间轴线：摄影机在孩子身后，孩子面向游戏厅内部，游戏厅全景在画面前方/深处。孩子、门洞、街机排布、视线方向必须一致；不要把游戏厅放到孩子背后或侧后方。,"Cinematic realism, 1990s northern Chinese small-town hidden arcade, smoky air, blue-green CRT glow, worn concrete, old bulky CRT arcade cabinets, muted film grain, no modern screens, no smartphone, no readable text, no watermark. Rear-follow wide shot from just behind the three brothers entering the arcade. Show the backs of their heads, backpacks and shoulders in the foreground, with the smoky arcade hall opening directly ahead: rows of old CRT cabinets, small stools, youthful local arcade regulars, blue-green screen glow. The children face into the room; no front reaction yet.","Child-height camera follows behind the boys through the doorway into the smoky arcade; the room opens ahead first, then the camera begins a slow move around them.",这个镜头负责建立“孩子看见什么”，先给后脑勺+游戏厅全景。,,,True,image_ready,08_generation/jobs/IDEA_IMG_20260616_013841/outputs/006_ACT1_SHOT_006.png,[]
ACT1_SHOT_007,SCN_ARCADE,游戏厅鱼龙混杂全貌,广角全景 / wide interior shot,低矮拥挤的游戏厅里，一排排旧街机发出蓝绿光。成年人、少年和孩子混在一起，烟雾让空气显得浑浊。,全景里的门口、孩子和街机厅纵深必须能读出同一方向：孩子从入口进入，街机和人群在他们面前，入口应在他们身后或画面边缘，不要反向。,"Wide cinematic interior keyframe of a crowded 1990s Chinese arcade hall, low ceiling, rows of old arcade cabinets, cigarette smoke, mixed crowd of adult men, teenagers, and children, three schoolchildren with backpacks visible near the entrance as small figures, blue-green CRT glow, gritty social realism, northern Chinese small-town underground game room, balanced composition, high image quality, no cyberpunk neon, no modern screens, no readable text, no watermark","Slow wide pan across the smoky arcade: hands on buttons, coins on cabinets, adults and kids pressed together under CRT flicker.",这一条是游戏厅场景设定核心图，既要乱，又要构图可读。,,,True,image_ready,,[]
ACT1_SHOT_008,SCN_ARCADE,镜头转到三个孩子表情,转场反应中近景 / arcing reaction medium close shot,承接后脑入场镜头，摄影机从三个孩子身后缓缓绕到他们前侧，第一次看见三张被CRT光照亮的脸：哥哥戴眼镜努力镇定，二弟和小弟兴奋又不安。孩子的眼神仍然越过镜头看向游戏厅内部。,这是入场镜头的反打/转身后半段：镜头已绕到孩子前侧，但孩子视线仍朝向游戏厅屏幕方向，不是回头看门外。背景应是游戏厅内部光影，不要破坏前一镜头的入场轴线。,"Cinematic realism, 1990s northern Chinese small-town hidden arcade, smoky air, blue-green CRT glow, worn concrete, old bulky CRT arcade cabinets, muted film grain, no modern screens, no smartphone, no readable text, no watermark. Medium close reaction shot after an arcing camera move: three Chinese schoolboys inside the arcade, faces lit by CRT glow. A Lei wears glasses and a dark blue tracksuit trying to stay calm; middle brother in blue jacket with red scarf and backpack; youngest chubby boy in brown vest. Their eyes look past camera toward the arcade screens, excited and uneasy, smoky arcade background.",The camera slowly arcs from behind the boys to their front side; CRT light reveals their faces while their gaze stays fixed on the arcade interior.,这个镜头负责补“表情”，但必须承接前面后脑入场的方向。,,,True,image_ready,08_generation/jobs/IDEA_IMG_20260616_013841/outputs/008_ACT1_SHOT_008.png,[]
ACT2_SHOT_001,SCN_ARCADE,入场运动镜头后半段：被游戏厅气氛震住,后脑转反应中景 / rear-to-reaction moving medium shot,承接开门入场：镜头先从三个孩子后脑勺和书包后方看见游戏厅全景，随后缓缓绕到前侧，看到两个弟弟停住脚步被烟雾、CRT光和年轻围观者震住；哥哥戴眼镜故作镇定，侧身示意他们跟紧。,这个镜头的空间逻辑是一个连续运动：起点在孩子身后，游戏厅全景在他们正前方；转到前侧后，孩子脸和视线仍然朝向游戏厅内部/屏幕方向。不要让门内空间和孩子脸方向相反，不要让他们回头看门外。,"Cinematic realism, 1990s northern Chinese small-town hidden arcade, smoky air, blue-green CRT glow, worn concrete, old bulky CRT arcade cabinets, muted film grain, no modern screens, no smartphone, no readable text, no watermark. Moving-shot keyframe for the moment after entry: start logic is behind the three brothers looking into the arcade, but this keyframe may show the camera arcing to their front side. A Lei wears glasses and dark blue tracksuit, signaling the younger brothers to stay close; middle brother in blue jacket/red scarf and youngest chubby boy in brown vest are stunned by smoke and CRT light. Their gaze remains toward the arcade interior and screens. Background patrons are youthful local arcade regulars, not old adults.","Begin from behind the three boys as the smoky arcade opens ahead, then slowly arc around to reveal their faces lit by CRT glow; the younger brothers freeze while A Lei gestures them onward.",修正入场镜头方向：先后脑勺+游戏厅全景，再转到表情。空间轴线优先于情绪表达。,围观者年龄锁：围观群众主要是同龄或稍大的本地少年、中学生、年轻小青年，最多少量20岁出头，不要中年大叔、老人或成人化江湖人物。 街机道具锁：所有真人快打相关镜头使用同一台固定结构的旧CRT双人街机；单一屏幕、左右并排操作位、宽控制面板、两组摇杆按钮、低凳、投币口位置稳定。 人物关系锁：哥哥和黄毛对战时必须并排坐着或半坐在机器前，头和胸口永远朝向同一块屏幕；不要面对面、不要回头看镜头、不要站成对峙。 游戏画面约束：如果拍到屏幕，只表现泛化的90年代像素格斗游戏画面，不出现真实游戏logo、可读文字、现代UI或高清3D画面。,,True,image_ready,08_generation/jobs/CARD_IMG_20260619_020051/outputs/001_ACT2_SHOT_001_v001_c01.png,[]
ACT2_SHOT_002,SCN_ARCADE,哥哥掏出一块钱,手部特写 / insert close-up,哥哥从口袋里掏出一张皱旧的一元人民币，纸币被手汗和年代痕迹压皱，背景是模糊的柜台和老板。,,"Cinematic storyboard keyframe, 1990s northern Chinese small-town underground arcade, gritty social realism, smoky air, old CRT arcade cabinet glow, worn school backpacks, realistic film still, clean composition, no modern smartphone, no modern esports hall, no cyberpunk, no readable random text, no watermark. Insert close-up of an older brother child hand pulling out a worn 1990s Chinese one-yuan banknote, wrinkled paper texture, sweaty fingers, blurred arcade counter and owner in background, authentic period detail. 围观者年龄锁：围观群众主要是同龄或稍大的本地少年、中学生、年轻小青年，最多少量20岁出头，不要中年大叔、老人或成人化江湖人物。 街机道具锁：所有真人快打相关镜头使用同一台固定结构的旧CRT双人街机；单一屏幕、左右并排操作位、宽控制面板、两组摇杆按钮、低凳、投币口位置稳定。 人物关系锁：哥哥和黄毛对战时必须并排坐着或半坐在机器前，头和胸口永远朝向同一块屏幕；不要面对面、不要回头看镜头、不要站成对峙。 游戏画面约束：如果拍到屏幕，只表现泛化的90年代像素格斗游戏画面，不出现真实游戏logo、可读文字、现代UI或高清3D画面。",Tight insert: the wrinkled one-yuan note comes out of the pocket and is pushed toward the counter.,钱必须真实、年代感强；避免可读文字过清导致模型乱字，可强调纸币质感和颜色。,围观者年龄锁：围观群众主要是同龄或稍大的本地少年、中学生、年轻小青年，最多少量20岁出头，不要中年大叔、老人或成人化江湖人物。 街机道具锁：所有真人快打相关镜头使用同一台固定结构的旧CRT双人街机；单一屏幕、左右并排操作位、宽控制面板、两组摇杆按钮、低凳、投币口位置稳定。 人物关系锁：哥哥和黄毛对战时必须并排坐着或半坐在机器前，头和胸口永远朝向同一块屏幕；不要面对面、不要回头看镜头、不要站成对峙。 游戏画面约束：如果拍到屏幕，只表现泛化的90年代像素格斗游戏画面，不出现真实游戏logo、可读文字、现代UI或高清3D画面。,,True,image_ready,08_generation/jobs/CARD_IMG_20260619_020051/outputs/002_ACT2_SHOT_002_v001_c01.png,[]
