panel_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,pure_path,annotated_path,pure_prompt,negative_prompt,spatial_lock,story_stage,stage_name,character_stage_lock,wardrobe_state,emotion_state,environment_stage_lock,whitebox_reference_path
MSB001,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,A,visual_assets/pure/micro_storyboard/B01/MSB001_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB001_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，只有潮湿和静默 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png
MSB002,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,A,visual_assets/pure/micro_storyboard/B01/MSB002_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB002_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，空间有被遗忘感 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png
MSB003,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,keyframe,A,visual_assets/pure/micro_storyboard/B01/MSB003_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB003_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，光像诱饵 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png
MSB004,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,B,visual_assets/pure/micro_storyboard/B01/MSB004_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB004_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，怀旧但不漂亮 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png
MSB005,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,B,visual_assets/pure/micro_storyboard/B01/MSB005_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB005_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，安静偏僻 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png
MSB006,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,B,visual_assets/pure/micro_storyboard/B01/MSB006_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB006_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境/道具；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境/道具; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境/道具；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境/道具; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，现实细节 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png
MSB007,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,start_frame,A,visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，路径清楚 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png
MSB008,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,end_frame,A,visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 现代商业街、明亮商铺、现代招牌、人群拥挤; 现代商铺化、入口漂移. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，悬念 / Emotion state from panel plan,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png
MSB009,B01,02,三兄弟靠近,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,storyboard,A,visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 三个孩子同款脸、同款发型、女生、学生队伍、现代校服; 三兄弟同款脸、站位像学生队列. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：阿磊；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 阿磊; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,角色焦点：阿磊；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 阿磊; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,假装镇定，下巴微扬 / Emotion state from panel plan,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png
MSB010,B01,02,三兄弟靠近,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,storyboard,A,visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 三个孩子同款脸、同款发型、女生、学生队伍、现代校服; 三兄弟同款脸、站位像学生队列. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：小川；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 小川; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,角色焦点：小川；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 小川; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,紧张又好奇，眼睛看阿磊后背 / Emotion state from panel plan,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png
MSB011,B01,02,三兄弟靠近,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,storyboard,A,visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,"Create a pure cinematic image for AIGC video generation, 16:9 landscape, high-resolution film still quality, no visible text or annotations. 1990s small-town China, Chinese dreamcore realism, humid yellowed childhood memory, low light, subtle VHS grain, real old clothes and lived-in surfaces. Preserve character design v2 and scene spatial bible v1. Story-stage lock: S0_START_CLEAN 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no layout notes, no watermark. Avoid: 三个孩子同款脸、同款发型、女生、学生队伍、现代校服; 三兄弟同款脸、站位像学生队列. Do not change scene layout, character identities, clothing, lighting direction, or camera axis. Do not leak wardrobe, dirt, injury, expression, or environment state from a later story stage into this panel. Pre-fight children must not be muddy, wet, heavily grimy, post-fight, or post-escape. Do not make Xiao Man look like a smaller Xiao Chuan: no shared anxious round-eyed face, no right-ear anchor, no same spiky hair.",阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：小满；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 小满; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,角色焦点：小满；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 小满; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,茫然，慢半拍 / Emotion state from panel plan,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png
