shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,pure_prompt,negative_prompt,story_stage,stage_name,spatial_lock
MSB066,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB066.png. Panel MSB066, Clip 08 偏僻小路, time 01:56. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 远景. Beat: 小路全貌. Visual focus: 狭窄小路两侧围墙和杂草，远处旧路灯，路面湿而空. Character focus: 环境. Expression: 无人物，偏僻感. Blocking and motion: locked-off. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB066.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB067,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB067.png. Panel MSB067, Clip 08 偏僻小路, time 01:57. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 全景. Beat: 三兄弟进入小路. Visual focus: 三兄弟从画面左侧进入，小路深处留出危险空间. Character focus: 三兄弟. Expression: 还在兴奋. Blocking and motion: 低机位 tracking. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB067.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB068,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB068.png. Panel MSB068, Clip 08 偏僻小路, time 01:59. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 中景. Beat: 阿磊继续讲赢法. Visual focus: 阿磊边走边比划摇杆，小川抬头认真听. Character focus: 阿磊/小川. Expression: 阿磊得意，小川崇拜. Blocking and motion: 向前走，手比划. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB068.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB069,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,C,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB069.png. Panel MSB069, Clip 08 偏僻小路, time 02:01. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 中景. Beat: 小满跟不上. Visual focus: 小满落后半步，脚尖内扣，努力跟上哥哥节奏. Character focus: 小满. Expression: 放松但迟缓. Blocking and motion: 小跑两步追上. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB069.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB070,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,prop,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB070.png. Panel MSB070, Clip 08 偏僻小路, time 02:03. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 特写. Beat: 路边碎石第一次出现. Visual focus: 路边碎砖石和一块普通石块在画面角落出现，不被强调成武器. Character focus: 道具/环境. Expression: 无人物. Blocking and motion: 固定低角度. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB070.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB071,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB071.png. Panel MSB071, Clip 08 偏僻小路, time 02:05. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 中景. Beat: 小川经过石块. Visual focus: 小川从石块旁走过，完全没注意，书包甩过前景. Character focus: 小川/道具. Expression: 开心余波. Blocking and motion: 石块作为环境锚点. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB071.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB072,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB072.png. Panel MSB072, Clip 08 偏僻小路, time 02:06. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 远景. Beat: 远处阴影. Visual focus: 小路前方灯下出现几个人影，三兄弟还未完全意识到. Character focus: 混混远影/三兄弟. Expression: 危险初现. Blocking and motion: 人物在远处不清晰. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB072.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB073,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB073.png. Panel MSB073, Clip 08 偏僻小路, time 02:08. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 中景. Beat: 阿磊脚步变慢. Visual focus: 阿磊的比划停住，身体略挡到小川前面. Character focus: 阿磊. Expression: 从得意转警觉. Blocking and motion: 步子慢下来. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB073.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB074,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB074.png. Panel MSB074, Clip 08 偏僻小路, time 02:10. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 近景. Beat: 小川看哥哥表情. Visual focus: 小川不看前方，先看阿磊脸色，笑收住. Character focus: 小川. Expression: 不明所以的紧张. Blocking and motion: 头转向阿磊. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB074.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB075,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,end_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B03/WB2_ALLEY_MSB075.png. Panel MSB075, Clip 08 偏僻小路, time 02:12. Scene lock: SCN_ALLEY. Camera reference: CAM_ALLEY_01_WALK_HOME. Shot size: 全景. Beat: 三人停在小路中段. Visual focus: 三兄弟停住，前方阴影更清楚，后方路变暗. Character focus: 三兄弟/环境. Expression: 兴奋完全消失. Blocking and motion: 左右空间锁定. Continuity anchors: 老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家. Story stage: S2_EXIT_TO_STANDOFF / exit and danger premonition. Character stage lock: Happy afterglow drains away; the brothers sense danger before the alley blockade.. Wardrobe state: The brothers are still mostly clean; clothes can wrinkle and bags can swing, but no fight dirt.. Emotion state: The mood shifts from pride to alertness and unease.. Environment stage lock: Arcade exit to damp secluded path; warm door light falls behind them, shadows begin to appear.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大街、车流、现代路灯、人群、追逐提前开始. Do not make the brothers already beaten, muddy, heroic, or inside the abandoned corridor.",S2_EXIT_TO_STANDOFF,exit and danger premonition,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB075.png; preserve axis, scale, foreground/midground/background, and subject blocking."
