shot_id,cue_type,cue,notes
MSB001,ambience,compound night bed,wet exterior silence
MSB003,sound_design,CRT leak,blue-green doorway pull
MSB006,sound_design,arcade light flicker,small colored reflections
MSB019,ambience,arcade room tone,interior cabinet drone
MSB020,sound_design,CRT cabinet hum,threshold silhouette
MSB025,foley,arcade buttons,worn tactile close-up
MSB058,ambience,exit exterior bed,warm street spill
MSB066,foley,wet footsteps,long alley scale
MSB074,performance,breath and pause,child reaction close-up
MSB085,sound_design,distant arcade memory,offscreen tension
