shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,pure_prompt,negative_prompt,story_stage,stage_name,spatial_lock
MSB001,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png. Panel MSB001, Clip 01 老小区建立, time 00:00. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 远景. Beat: 空镜压低视线. Visual focus: 潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方. Character focus: 环境. Expression: 无人物，只有潮湿和静默. Blocking and motion: locked-off，低机位，轻微前推. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB002,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png. Panel MSB002, Clip 01 老小区建立, time 00:02. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 远景. Beat: 居民楼像迷宫. Visual focus: 发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉. Character focus: 环境. Expression: 无人物，空间有被遗忘感. Blocking and motion: 镜头保持低，建筑线条压迫. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB003,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png. Panel MSB003, Clip 01 老小区建立, time 00:04. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 中远景. Beat: 门缝 CRT 光. Visual focus: 一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚. Character focus: 环境. Expression: 无人物，光像诱饵. Blocking and motion: 只允许光轻闪. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB004,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png. Panel MSB004, Clip 01 老小区建立, time 00:06. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 中景. Beat: 旧招牌细节. Visual focus: 旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落. Character focus: 环境. Expression: 无人物，怀旧但不漂亮. Blocking and motion: 固定构图，细节可读. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB005,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png. Panel MSB005, Clip 01 老小区建立, time 00:08. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 中远景. Beat: 楼道暗处. Visual focus: 楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险. Character focus: 环境. Expression: 无人物，安静偏僻. Blocking and motion: 微 push-in. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB006,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png. Panel MSB006, Clip 01 老小区建立, time 00:10. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 特写. Beat: CRT 反光到水面. Visual focus: 潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头. Character focus: 环境/道具. Expression: 无人物，现实细节. Blocking and motion: 低角度近景. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB007,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png. Panel MSB007, Clip 01 老小区建立, time 00:12. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 远景. Beat: 空间方向确认. Visual focus: 从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线. Character focus: 环境. Expression: 无人物，路径清楚. Blocking and motion: 低位广角. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB008,B01,01,老小区建立,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,end_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png. Panel MSB008, Clip 01 老小区建立, time 00:14. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_01_ESTABLISH. Shot size: 远景. Beat: 等待人物进入. Visual focus: 画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近. Character focus: 环境. Expression: 无人物，悬念. Blocking and motion: locked-off. Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代商业街、明亮商铺、现代招牌、人群拥挤. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB009,B01,02,三兄弟靠近,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png. Panel MSB009, Clip 02 三兄弟靠近, time 00:16. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_02_BROTHERS_APPROACH. Shot size: 全景. Beat: 阿磊先进画. Visual focus: 阿磊从画面左后方先出现，双手插兜，装作熟门熟路. Character focus: 阿磊. Expression: 假装镇定，下巴微扬. Blocking and motion: 步子比弟弟大半拍. Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 三个孩子同款脸、同款发型、女生、学生队伍、现代校服. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB010,B01,02,三兄弟靠近,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png. Panel MSB010, Clip 02 三兄弟靠近, time 00:17. Scene lock: SCN_COMPOUND. Camera reference: CAM_COMPOUND_02_BROTHERS_APPROACH. Shot size: 全景. Beat: 小川跟半步. Visual focus: 小川背浅绿色塌书包跟在半步后，两手攥书包带. Character focus: 小川. Expression: 紧张又好奇，眼睛看阿磊后背. Blocking and motion: 肩膀缩，步子短. Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落. Story stage: S0_START_CLEAN / opening clean state. Character stage lock: The three brothers are ordinary children, curious and only slightly tense; no fight damage yet.. Wardrobe state: Old 1990s school clothes, worn but clean; red scarf, green schoolbag, old shoes, no mud or injury.. Emotion state: Curious, cautious, attracted by the hidden arcade light.. Environment stage lock: Damp old residential compound, yellowed concrete, hidden ground-floor game room, children still clean.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 三个孩子同款脸、同款发型、女生、学生队伍、现代校服. Do not show dirty, muddy, injured, post-fight, post-escape, phone-booth, or 8-bit states.",S0_START_CLEAN,opening clean state,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png; preserve axis, scale, foreground/midground/background, and subject blocking."
