asset_id,character_id,character_name,asset_type,planned_path,source_doc,purpose,status
CHR_BRO_A_FRONT,CHR_BRO_A,阿磊,front_design,character_design_v2/CHR_BRO_A_older_brother_front_design_v002_clean.png,17_character_sheet_generation_prompts_v2.md,单人正面设定,generated_clean_needs_review
CHR_BRO_A_TURN,CHR_BRO_A,阿磊,turnaround,character_design_v2/CHR_BRO_A_older_brother_turnaround_expression_v001_glasses.png,17_character_sheet_generation_prompts_v2.md,三视图,generated_combined_turnaround_expression_needs_review
CHR_BRO_A_EXP,CHR_BRO_A,阿磊,expression_grid,character_design_v2/CHR_BRO_A_older_brother_turnaround_expression_v001_glasses.png,17_character_sheet_generation_prompts_v2.md,表情九宫格,generated_combined_turnaround_expression_needs_review
CHR_BRO_A_POSE,CHR_BRO_A,阿磊,pose_sheet,character_design_v2/CHR_BRO_A_older_brother_pose_sheet_v001.png,17_character_sheet_generation_prompts_v2.md,姿态四连,planned
CHR_BRO_B_FRONT,CHR_BRO_B,小川,front_design,character_design_v2/CHR_BRO_B_protagonist_front_design_v002_clean.png,17_character_sheet_generation_prompts_v2.md,单人正面设定,generated_clean_needs_review
CHR_BRO_B_TURN,CHR_BRO_B,小川,turnaround,character_design_v2/CHR_BRO_B_protagonist_turnaround_expression_v001_distinct.png,17_character_sheet_generation_prompts_v2.md,三视图,generated_combined_turnaround_expression_distinct_active
CHR_BRO_B_EXP,CHR_BRO_B,小川,expression_grid,character_design_v2/CHR_BRO_B_protagonist_turnaround_expression_v001_distinct.png,17_character_sheet_generation_prompts_v2.md,表情九宫格,generated_combined_turnaround_expression_distinct_active
CHR_BRO_B_POSE,CHR_BRO_B,小川,pose_sheet,character_design_v2/CHR_BRO_B_protagonist_pose_sheet_v001.png,17_character_sheet_generation_prompts_v2.md,姿态四连,planned
CHR_BRO_C_FRONT,CHR_BRO_C,小满,front_design,character_design_v2/CHR_BRO_C_younger_brother_turnaround_expression_v001_chubby.png,17_character_sheet_generation_prompts_v2.md,单人正面设定,superseded_by_chubby_turnaround_expression_active
CHR_BRO_C_TURN,CHR_BRO_C,小满,turnaround,character_design_v2/CHR_BRO_C_younger_brother_turnaround_expression_v001_chubby.png,17_character_sheet_generation_prompts_v2.md,三视图,generated_combined_turnaround_expression_chubby_active
CHR_BRO_C_EXP,CHR_BRO_C,小满,expression_grid,character_design_v2/CHR_BRO_C_younger_brother_turnaround_expression_v001_chubby.png,17_character_sheet_generation_prompts_v2.md,表情九宫格,generated_combined_turnaround_expression_chubby_active
CHR_BRO_C_POSE,CHR_BRO_C,小满,pose_sheet,character_design_v2/CHR_BRO_C_younger_brother_pose_sheet_v001.png,17_character_sheet_generation_prompts_v2.md,姿态四连,planned
CHR_BLY_A_FRONT,CHR_BLY_A,彬子,front_design,character_design_v2/CHR_BLY_A_short_boss_front_design_v001.png,17_character_sheet_generation_prompts_v2.md,单人正面设定,planned
CHR_BLY_A_TURN,CHR_BLY_A,彬子,turnaround,character_design_v2/CHR_BLY_A_short_boss_turnaround_v001.png,17_character_sheet_generation_prompts_v2.md,三视图,planned
CHR_BLY_A_EXP,CHR_BLY_A,彬子,expression_grid,character_design_v2/CHR_BLY_A_short_boss_expression_grid_v001.png,17_character_sheet_generation_prompts_v2.md,表情九宫格,planned
CHR_BLY_A_POSE,CHR_BLY_A,彬子,pose_sheet,character_design_v2/CHR_BLY_A_short_boss_pose_sheet_v001.png,17_character_sheet_generation_prompts_v2.md,姿态四连,planned
