cue_id,visual_range,time_start,time_end,category,cue_name,story_function,sonic_description,sync_point,intensity,processing,loopable,wav_name,priority
AMB_001,Clip 01 / MSB001-MSB008,00:00.0,00:16.0,ambience,潮湿老小区夜底,让空间先进入观众身体。,低风、远处住户声、潮湿水面、很远的街机漏音。,free,2,"lowpass, subtle VHS noise",yes,audio/ambience/AMB_001_compound_night_loop.wav,A
SFX_001,Clip 01 / MSB003-MSB008,00:08.0,00:16.0,hard_sfx,门内 CRT 漏电声,引出游戏机房。,很轻的 CRT 嗡鸣和蓝绿光感，不要现代电子声。,object,2,CRT hum,yes,audio/sfx/SFX_001_crt_leak_hum.wav,A
FOLEY_001,Clip 02 / MSB009-MSB018,00:16.0,00:34.0,foley,三兄弟湿地脚步,建立年龄差和跟随节奏。,阿磊步子大，小川轻而紧，小满慢半拍。,action,2,room/outdoor natural,no,audio/sfx/FOLEY_001_three_brothers_steps.wav,A
SFX_002,Clip 03 / MSB019-MSB028,00:34.0,00:50.0,transition_sfx,脏门帘擦镜,从小区进入游戏厅。,塑料门帘贴镜擦过，街机声突然变大。,cut/transition,3,close foley,no,audio/sfx/SFX_002_plastic_curtain_wipe.wav,A
AMB_002,Clip 03-06 / MSB019-MSB057,00:34.0,01:42.0,ambience,旧游戏厅底噪,让游戏厅成为活空间。,多台 CRT、按钮、硬币、少年含混声、低天花混响。,free,4,"roomy, smoky, VHS",yes,audio/ambience/AMB_002_old_arcade_loop.wav,A
SFX_003,Clip 04 / MSB029-MSB037,00:58.0,01:02.0,hard_sfx,硬币入槽,对战仪式开始。,旧硬币叮、滑入金属槽、按钮轻响。,object,4,"close, metallic",no,audio/sfx/SFX_003_coin_insert.wav,A
SFX_004,Clip 05 / MSB038-MSB049,01:06.0,01:25.0,hard_sfx,街机按键对战,把冲突先限制在游戏里。,摇杆撞击、彩色按钮快速敲击、CRT 闪白。,action,4,arcade cabinet perspective,no,audio/sfx/SFX_004_arcade_duel_buttons.wav,A
SFX_005,Clip 05 / MSB045-MSB049,01:22.0,01:27.0,hard_sfx,胜利红光失真,哥哥赢和彬子受辱。,胜利音效不要用版权旋律，使用原创短促 8-bit 上扬后失真。,UI/object,4,"8-bit, distorted tail",no,audio/sfx/SFX_005_victory_glitch.wav,A
MUS_001,Clip 06 / MSB050-MSB057,01:28.0,01:42.0,music,报复低频第一次出现,让游戏厅热闹被彬子情绪压住。,很低的单音 drone，几乎像机器故障，不像配乐煽情。,free,2,"low drone, sidechain under arcade",yes,audio/music/MUS_001_revenge_low_drone.wav,B
TRANS_001,Clip 07 / MSB058-MSB065,01:42.0,01:56.0,transition_sfx,街机声远去到路灯声,兴奋转向不安。,门内街机声被卷帘门和夜路吞掉，路灯电流上来。,transition,3,"crossfade, lowpass",no,audio/sfx/TRANS_001_arcade_to_alley.wav,A
AMB_003,Clip 08-12 / MSB066-MSB119,01:56.0,03:36.0,ambience,偏僻小路夜底,建立小路偏僻和危险。,旧路灯电流、远窗声、夜虫、湿地反光空间。,free,3,outdoor narrow alley,yes,audio/ambience/AMB_003_secluded_alley_loop.wav,A
