camera_id,image,location,lens_or_ortho,note
CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_COMPOUND_01_ESTABLISH.png,"(-17.0, -8.2, 1.55)",24.0mm,Old residential compound establishing view: remote ground-floor arcade corner.
CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_COMPOUND_02_BROTHERS_APPROACH.png,"(-20.8, -4.2, 1.15)",28.0mm,Older brother-like boy leads two younger brothers toward hidden arcade door.
CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ARCADE_01_ENTRANCE_WIDE.png,"(0.0, -5.4, 1.2)",22.0mm,Arcade entrance axis: children enter toward machine rows.
CAM_ARCADE_02_CHILD_POV,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ARCADE_02_CHILD_POV.png,"(0.0, -2.45, 0.95)",24.0mm,"Child-height center-axis view inside arcade, CRT glow and machine density."
CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ARCADE_02_STREET_FIGHTER_CABINET.png,"(-1.9, -3.0, 1.1)",28.0mm,Three brothers find the Street Fighter cabinet.
CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ARCADE_03_DUEL_OVER_SHOULDER.png,"(-1.25, -2.2, 1.25)",35.0mm,Older brother versus short boss at Street Fighter cabinet.
CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ARCADE_04_BOSS_LOSES_REACTION.png,"(1.95, -2.25, 1.15)",40.0mm,Short boss loses and bully group gathers.
CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ARCADE_EXIT_01_LEAVING.png,"(15.0, -5.5, 1.3)",28.0mm,Three brothers leave the hidden arcade door after the Street Fighter victory; no fight here.
CAM_ARCADE_EXIT_02_TO_ALLEY,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ARCADE_EXIT_02_TO_ALLEY.png,"(11.4, -2.8, 1.25)",30.0mm,Transition direction from arcade exit toward the secluded alley.
CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ALLEY_01_WALK_HOME.png,"(32.0, -9.8, 1.55)",24.0mm,Three brothers walk home through secluded alley after arcade victory.
CAM_ALLEY_02_BLOCKED,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ALLEY_02_BLOCKED.png,"(32.0, -8.6, 1.65)",24.0mm,Bully group blocks the alley ahead.
CAM_ALLEY_03_BROTHER_BEATEN,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ALLEY_03_BROTHER_BEATEN.png,"(34.0, -5.0, 1.4)",28.0mm,Four bullies surround and beat the older brother.
CAM_ALLEY_04_STONE_HIT,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ALLEY_04_STONE_HIT.png,"(30.0, -5.8, 1.15)",28.0mm,Protagonist sees roadside stone before short boss's heavy blow.
CAM_ALLEY_05_ESCAPE_VECTOR,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_ALLEY_05_ESCAPE_VECTOR.png,"(30.2, -8.6, 1.25)",26.0mm,Protagonist runs from the alley toward the abandoned building.
CAM_CORRIDOR_01_ENTRY_LONG,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_CORRIDOR_01_ENTRY_LONG.png,"(0.0, 3.5, 1.25)",24.0mm,Entry view into abandoned endless corridor.
CAM_CORRIDOR_02_LOW_TRACK,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_CORRIDOR_02_LOW_TRACK.png,"(-1.0, 9.0, 0.95)",28.0mm,Low tracking direction for boy running down corridor.
CAM_PHONE_01_DISTANT_GLOW,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_PHONE_01_DISTANT_GLOW.png,"(0.0, 15.0, 1.35)",35.0mm,Distant glowing phone booth at the far end.
CAM_PHONE_02_APPROACH_CLOSE,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_PHONE_02_APPROACH_CLOSE.png,"(-1.15, 29.0, 1.35)",35.0mm,"Boy approaches phone booth, booth dominates frame."
CAM_PHONE_03_RECEIVER_INSERT,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_PHONE_03_RECEIVER_INSERT.png,"(-0.65, 30.85, 1.45)",55.0mm,Insert angle for receiver and hand before electronic transition.
CAM_8BIT_01_STAGE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_8BIT_01_STAGE_WIDE.png,"(15.0, 26.5, 2.0)",ortho 8.0,Orthographic side-scrolling stage wide view.
CAM_8BIT_02_WIN_SCREEN,E:\视觉\投币口\01_AIGC\whitebox_renders\CAM_8BIT_02_WIN_SCREEN.png,"(15.0, 29.0, 2.45)",ortho 5.800000190734863,Final WIN / INSERT COIN framing.
