card_uid,item_id,scene_id,beat,shot_type,frame_description,linked_cards,spatial_logic,image_prompt,video_prompt,notes,revision_note,sort_after,selected,status,output_path,references
CARD_BW_001,OP_SHOT_001,SCN_REF003_SKY_FADEIN,黑场/云层淡入,black cloud fade-in,"Black frame or very dark fade beginning into luminous cloud texture, no subject yet.",OP_SHOT_002,"Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:00.00. Shot OP_SHOT_001: black cloud fade-in. Frame description: Black frame or very dark fade beginning into luminous cloud texture, no subject yet. Unit: VU_REF003_001_BLACK_CLOUD_FADEIN (黑场到云层蓝天淡入). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_001_BLACK_CLOUD_FADEIN
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_001_BLACK_CLOUD_FADEIN.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_001 (图1 / black_to_cloud_start)
- 参考时间 / Reference timing: 00:00.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH01 official keyframe generated from full video reference. Visual QA pass: dark fade-in frame, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_001.png,[]
CARD_BW_002,OP_SHOT_002,SCN_REF003_SKY_FADEIN,云层蓝天显现,bright cloud sky reveal,"Bright white cloud mass opens into saturated blue sky, no bird yet.","OP_SHOT_001, OP_SHOT_003","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:01.50. Shot OP_SHOT_002: bright cloud sky reveal. Frame description: Bright white cloud mass opens into saturated blue sky, no bird yet. Unit: VU_REF003_001_BLACK_CLOUD_FADEIN (黑场到云层蓝天淡入). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_001_BLACK_CLOUD_FADEIN
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_001_BLACK_CLOUD_FADEIN.md
- 本关键帧 / This keyframe: 图2 = OP_SHOT_002 (图2 / bright_cloud_sky_reveal)
- 参考时间 / Reference timing: 00:01.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH01 official keyframe generated from full video reference. Visual QA pass: bright cloud/blue-sky reveal, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_001,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_002.png,[]
CARD_BW_003,OP_SHOT_003,SCN_REF003_WHITE_BIRD,白鸟首次入画,white bird entry,"White bird enters the blue sky after the cloud fade-in, wings open and readable.","OP_SHOT_002, OP_SHOT_004","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:02.50. Shot OP_SHOT_003: white bird entry. Frame description: White bird enters the blue sky after the cloud fade-in, wings open and readable. Unit: VU_REF003_002_WHITE_BIRD_SKY (白鸟入画与蓝天滑翔). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_002_WHITE_BIRD_SKY
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_002_WHITE_BIRD_SKY.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_003 (图1 / bird_entry)
- 参考时间 / Reference timing: 00:02.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH01 official keyframe generated from full video reference. Visual QA pass: white bird entry on clean sky, reference text removed.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_002,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_003.png,[]
CARD_BW_004,OP_SHOT_004,SCN_REF003_WHITE_BIRD,白鸟滑翔延续,white bird glide,"The same white bird glides farther through saturated blue sky, no aircraft.","OP_SHOT_003, OP_SHOT_005","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:05.00. Shot OP_SHOT_004: white bird glide. Frame description: The same white bird glides farther through saturated blue sky, no aircraft. Unit: VU_REF003_002_WHITE_BIRD_SKY (白鸟入画与蓝天滑翔). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_002_WHITE_BIRD_SKY
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_002_WHITE_BIRD_SKY.md
- 本关键帧 / This keyframe: 图2 = OP_SHOT_004 (图2 / bird_glide)
- 参考时间 / Reference timing: 00:05.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH01 official keyframe generated from full video reference. Visual QA pass: white bird glide on clean sky, reference text removed.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_003,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_004.png,[]
CARD_BW_005,OP_SHOT_005,SCN_REF003_CREDIT_SAFE_SKY,无字职员表安全位,bird credit-safe sky,"Small white bird over clean blue sky with large center negative space, replacing credits with no text.","OP_SHOT_004, OP_SHOT_006","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:07.50. Shot OP_SHOT_005: bird credit-safe sky. Frame description: Small white bird over clean blue sky with large center negative space, replacing credits with no text. Unit: VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS (白鸟字幕安全位与云层增长). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_005 (图1 / no_text_credit_safe_bird)
- 参考时间 / Reference timing: 00:07.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH01 official keyframe generated from full video reference. Visual QA pass: credit-safe empty sky with tiny bird, all text removed.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_004,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_005.png,[]
CARD_BW_006,OP_SHOT_006,SCN_REF003_CREDIT_SAFE_SKY,云层增长填画,cloud bank growth,Large bright cloud bank grows into frame while the bird becomes small or exits.,"OP_SHOT_005, OP_SHOT_007","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:11.50. Shot OP_SHOT_006: cloud bank growth. Frame description: Large bright cloud bank grows into frame while the bird becomes small or exits. Unit: VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS (白鸟字幕安全位与云层增长). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS.md
- 本关键帧 / This keyframe: 图2 = OP_SHOT_006 (图2 / cloud_bank_growth)
- 参考时间 / Reference timing: 00:11.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH01 R2 official keyframe generated from full video reference. Visual QA pass: right-side cloud bank, visible tiny bird, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_005,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_006_v2.png,[]
CARD_BW_007,OP_SHOT_007,SCN_REF003_AIRCRAFT_REVEAL,飞行器短露,brief aircraft reveal,"Jean-style handmade retro aircraft or wing flashes briefly through clouded sky, scale controlled.","OP_SHOT_006, OP_SHOT_008","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:15.00. Shot OP_SHOT_007: brief aircraft reveal. Frame description: Jean-style handmade retro aircraft or wing flashes briefly through clouded sky, scale controlled. Unit: VU_REF003_004_AIRCRAFT_BRIEF_REVEAL (飞行器短暂露出). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_004_AIRCRAFT_BRIEF_REVEAL
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_004_AIRCRAFT_BRIEF_REVEAL.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_007 (图1 / aircraft_brief_reveal)
- 参考时间 / Reference timing: 00:15.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH02 official keyframe generated from full video reference. Visual QA pass: small handmade aircraft revealed in bright cloud field, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane. Heroine design replacement generated with selected C candidate.,OP_SHOT_006,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_007.png,[]
CARD_BW_008,OP_SHOT_008,SCN_REF003_TITLE_SAFE,主标题无字安全位,main title-safe sky hold,"Clean blue sky and diagonal cloud band where the original title sits, but completely text-free.","OP_SHOT_007, OP_SHOT_009","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:18.50. Shot OP_SHOT_008: main title-safe sky hold. Frame description: Clean blue sky and diagonal cloud band where the original title sits, but completely text-free. Unit: VU_REF003_005_MAIN_TITLE_SAFE_HOLD (主标题功能位无字 hold). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_005_MAIN_TITLE_SAFE_HOLD
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_005_MAIN_TITLE_SAFE_HOLD.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_008 (图1 / main_title_safe_no_text)
- 参考时间 / Reference timing: 00:18.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH02 R2 official keyframe generated from full video reference. Visual QA pass: title-safe blue sky and diagonal cloud band, source title removed, no sun flare.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_007,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_008_v2.png,[]
CARD_BW_009,OP_SHOT_009,SCN_REF003_SUN_FLARE,太阳光线转场,sun flare transition,Bright sun flare over clean blue sky prepares the cut to Nadia.,"OP_SHOT_008, OP_SHOT_010","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:23.00. Shot OP_SHOT_009: sun flare transition. Frame description: Bright sun flare over clean blue sky prepares the cut to Nadia. Unit: VU_REF003_006_SUN_FLARE_TO_NADIA (太阳光转 Nadia). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_006_SUN_FLARE_TO_NADIA
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_006_SUN_FLARE_TO_NADIA.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_009 (图1 / sun_flare_transition)
- 参考时间 / Reference timing: 00:23.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH02 official keyframe generated from full video reference. Visual QA pass: sun flare transition over clean sky, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_008,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_009.png,[]
CARD_BW_010,OP_SHOT_010,SCN_REF003_NADIA_ENTRY,Nadia 侧脸入场,Nadia profile entry,"Age-appropriate Nadia C-version in side/profile close-up after the sun transition, sky behind.","OP_SHOT_009, OP_SHOT_011","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:24.50. Shot OP_SHOT_010: Nadia profile entry. Frame description: Age-appropriate Nadia C-version in side/profile close-up after the sun transition, sky behind. Unit: VU_REF003_007_NADIA_PROFILE_ENTRY (Nadia 侧脸入场到近景). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_007_NADIA_PROFILE_ENTRY
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_007_NADIA_PROFILE_ENTRY.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_010 (图1 / Nadia_profile)
- 参考时间 / Reference timing: 00:24.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_FRAME_PROMOTION_R3 P0 hard replacement generated and QA pass: Nadia profile face is more refined/impressive, matches OP_SHOT_011_v2 identity lock, preserves reference profile composition, conservative costume, no text/logo.",REFERENCE003_FRAME_PROMOTION_R3 applied after director requested first Nadia profile to be more beautiful/refined; OP_SHOT_011_v2 remains the Nadia face lock.,OP_SHOT_009,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_FRAME_PROMOTION_R3_20260630/outputs/OP_SHOT_010_R3_NADIA_PROFILE_BEAUTY_LOCK.png,[]
