panel_id,clip,clip_title,approx_time,shot_size,camera,beat,image_prompt_focus,character_focus,expression_note,pose_motion_note,continuity_anchor,avoid,asset_type,priority
MSB001,01,老小区建立,00:00,远景,CAM_COMPOUND_01_ESTABLISH,空镜压低视线,潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方,环境,无人物，只有潮湿和静默,locked-off，低机位，轻微前推,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,storyboard,A
MSB002,01,老小区建立,00:02,远景,CAM_COMPOUND_01_ESTABLISH,居民楼像迷宫,发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉,环境,无人物，空间有被遗忘感,镜头保持低，建筑线条压迫,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,storyboard,A
MSB003,01,老小区建立,00:04,中远景,CAM_COMPOUND_01_ESTABLISH,门缝 CRT 光,一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚,环境,无人物，光像诱饵,只允许光轻闪,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,keyframe,A
MSB004,01,老小区建立,00:06,中景,CAM_COMPOUND_01_ESTABLISH,旧招牌细节,旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落,环境,无人物，怀旧但不漂亮,固定构图，细节可读,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,storyboard,B
MSB005,01,老小区建立,00:08,中远景,CAM_COMPOUND_01_ESTABLISH,楼道暗处,楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险,环境,无人物，安静偏僻,微 push-in,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,storyboard,B
MSB006,01,老小区建立,00:10,特写,CAM_COMPOUND_01_ESTABLISH,CRT 反光到水面,潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头,环境/道具,无人物，现实细节,低角度近景,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,storyboard,B
MSB007,01,老小区建立,00:12,远景,CAM_COMPOUND_01_ESTABLISH,空间方向确认,从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线,环境,无人物，路径清楚,低位广角,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,start_frame,A
MSB008,01,老小区建立,00:14,远景,CAM_COMPOUND_01_ESTABLISH,等待人物进入,画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近,环境,无人物，悬念,locked-off,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,现代商业街、明亮商铺、现代招牌、人群拥挤,end_frame,A
MSB009,02,三兄弟靠近,00:16,全景,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊先进画,阿磊从画面左后方先出现，双手插兜，装作熟门熟路,阿磊,假装镇定，下巴微扬,步子比弟弟大半拍,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,storyboard,A
MSB010,02,三兄弟靠近,00:17,全景,CAM_COMPOUND_02_BROTHERS_APPROACH,小川跟半步,小川背浅绿色塌书包跟在半步后，两手攥书包带,小川,紧张又好奇，眼睛看阿磊后背,肩膀缩，步子短,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,storyboard,A
MSB011,02,三兄弟靠近,00:19,全景,CAM_COMPOUND_02_BROTHERS_APPROACH,小满贴最后,小满更小，浅色大衬衫，抓衣角，脚尖内扣地跟上,小满,茫然，慢半拍,贴着小川的路线走,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,storyboard,A
MSB012,02,三兄弟靠近,00:21,中远景,CAM_COMPOUND_02_BROTHERS_APPROACH,三人身高差,三兄弟同框，阿磊高一头，小川中间，小满明显更小,三兄弟,三种不同反应：逞强、紧张、茫然,三角形站位建立,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,keyframe,A
MSB013,02,三兄弟靠近,00:23,中景,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊回头催,阿磊半回头催弟弟，手背蹭鼻尖，小川抬眼看他,阿磊/小川,阿磊不耐烦，小川确认哥哥表情,轻微回头，不改变路线,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,storyboard,B
MSB014,02,三兄弟靠近,00:25,中景,CAM_COMPOUND_02_BROTHERS_APPROACH,门口吸引小川,CRT 光照到小川眼睛和红领巾，小川嘴微张,小川,被光吸引，怕但想看,手仍攥书包带,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,storyboard,A
MSB015,02,三兄弟靠近,00:26,中景,CAM_COMPOUND_02_BROTHERS_APPROACH,小满被光吓到,小满在后面眨眼，抓衣角更紧，身体往小川背后缩,小满,被亮光吓到又好奇,脚尖内扣停一下,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,storyboard,B
MSB016,02,三兄弟靠近,00:28,中远景,CAM_COMPOUND_02_BROTHERS_APPROACH,三人到门前,三兄弟停在门口，门缝光打到鞋尖，阿磊站最前,三兄弟,阿磊撑住，小川犹豫，小满躲后,队形稳定,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,end_frame,A
MSB017,02,三兄弟靠近,00:30,近景,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊伸手,阿磊的手伸向脏门帘或门边，袖口磨毛清楚,阿磊/道具,手势故作自然,手从口袋抽出,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,storyboard,B
MSB018,02,三兄弟靠近,00:32,中景,CAM_COMPOUND_02_BROTHERS_APPROACH,门帘前停顿,门帘在三兄弟面前轻晃，三张不同年龄的脸被 CRT 光分层照亮,三兄弟,期待、紧张、害怕同时出现,静止一拍,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三个孩子同款脸、同款发型、女生、学生队伍、现代校服,keyframe,A
MSB019,03,游戏厅入口,00:34,近景,CAM_ARCADE_01_ENTRANCE_WIDE,门帘擦镜,脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,环境/道具,无人物，进入感,门帘晃动作为隐藏剪辑,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,storyboard,A
MSB020,03,游戏厅入口,00:35,全景,CAM_ARCADE_01_ENTRANCE_WIDE,三兄弟入口剪影,三兄弟站在入口下方，室内低天花和两侧街机压住他们,三兄弟,被空间吞进去的惊讶,站位保持阿磊前、小川中、小满后,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,start_frame,A
