whitebox_id,panel_id,batch,clip,scene_id,source_camera,render_path,location,lens_or_ortho,layout_focus,pose_or_path,status
WB2_COMPOUND_MSB001,MSB001,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB001.png,"(-18.75, -8.5, 1.35)",25.0mm,潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方,locked-off，低机位，轻微前推,rendered
WB2_COMPOUND_MSB002,MSB002,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB002.png,"(-18.0, -7.95, 1.43)",28.0mm,发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉,镜头保持低，建筑线条压迫,rendered
WB2_COMPOUND_MSB003,MSB003,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB003.png,"(-17.25, -9.05, 1.27)",22.0mm,一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚,只允许光轻闪,rendered
WB2_COMPOUND_MSB004,MSB004,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB004.png,"(-16.5, -8.5, 1.35)",25.0mm,旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落,固定构图，细节可读,rendered
WB2_COMPOUND_MSB005,MSB005,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB005.png,"(-19.5, -7.95, 1.43)",28.0mm,楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险,微 push-in,rendered
WB2_COMPOUND_MSB006,MSB006,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB006.png,"(-18.75, -9.05, 1.27)",22.0mm,潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头,低角度近景,rendered
WB2_COMPOUND_MSB007,MSB007,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB007.png,"(-18.0, -8.5, 1.35)",25.0mm,从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线,低位广角,rendered
WB2_COMPOUND_MSB008,MSB008,B01,01,SCN_COMPOUND,CAM_COMPOUND_01_ESTABLISH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB008.png,"(-17.25, -7.95, 1.43)",28.0mm,画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近,locked-off,rendered
WB2_COMPOUND_MSB009,MSB009,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB009.png,"(-18.9, -5.35, 1.2)",32.0mm,阿磊从画面左后方先出现，双手插兜，装作熟门熟路,步子比弟弟大半拍,rendered
WB2_COMPOUND_MSB010,MSB010,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB010.png,"(-21.5, -4.8, 1.05)",36.0mm,小川背浅绿色塌书包跟在半步后，两手攥书包带,肩膀缩，步子短,rendered
WB2_COMPOUND_MSB011,MSB011,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB011.png,"(-20.85, -4.25, 1.2)",40.0mm,小满更小，浅色大衬衫，抓衣角，脚尖内扣地跟上,贴着小川的路线走,rendered
WB2_COMPOUND_MSB012,MSB012,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB012.png,"(-20.2, -5.35, 1.05)",28.0mm,三兄弟同框，阿磊高一头，小川中间，小满明显更小,三角形站位建立,rendered
WB2_COMPOUND_MSB013,MSB013,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB013.png,"(-19.55, -4.8, 1.2)",32.0mm,阿磊半回头催弟弟，手背蹭鼻尖，小川抬眼看他,轻微回头，不改变路线,rendered
WB2_COMPOUND_MSB014,MSB014,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB014.png,"(-18.9, -4.25, 1.05)",36.0mm,CRT 光照到小川眼睛和红领巾，小川嘴微张,手仍攥书包带,rendered
WB2_COMPOUND_MSB015,MSB015,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB015.png,"(-21.5, -5.35, 1.2)",40.0mm,小满在后面眨眼，抓衣角更紧，身体往小川背后缩,脚尖内扣停一下,rendered
WB2_COMPOUND_MSB016,MSB016,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB016.png,"(-20.85, -4.8, 1.05)",28.0mm,三兄弟停在门口，门缝光打到鞋尖，阿磊站最前,队形稳定,rendered
WB2_COMPOUND_MSB017,MSB017,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB017.png,"(-20.2, -4.25, 1.2)",32.0mm,阿磊的手伸向脏门帘或门边，袖口磨毛清楚,手从口袋抽出,rendered
WB2_COMPOUND_MSB018,MSB018,B01,02,SCN_COMPOUND,CAM_COMPOUND_02_BROTHERS_APPROACH,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_COMPOUND_MSB018.png,"(-19.55, -5.35, 1.05)",36.0mm,门帘在三兄弟面前轻晃，三张不同年龄的脸被 CRT 光分层照亮,静止一拍,rendered
WB2_ARCADE_MSB019,MSB019,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB019.png,"(0.32, -5.4, 1.2)",22.0mm,脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,门帘晃动作为隐藏剪辑,rendered
WB2_ARCADE_MSB020,MSB020,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB020.png,"(-0.32, -5.22, 1.24)",22.0mm,三兄弟站在入口下方，室内低天花和两侧街机压住他们,站位保持阿磊前、小川中、小满后,rendered
WB2_ARCADE_MSB021,MSB021,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB021.png,"(-0.16, -5.58, 1.16)",22.0mm,阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口,向前一步后停,rendered
WB2_ARCADE_MSB022,MSB022,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB022.png,"(0.0, -5.4, 1.2)",22.0mm,小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚,头部小幅转向街机,rendered
WB2_ARCADE_MSB023,MSB023,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB023.png,"(0.16, -5.22, 1.24)",22.0mm,小满靠近小川身后，只露半个身体，看向发光屏幕,抓衣角，跟半步,rendered
