shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,pure_prompt,negative_prompt,story_stage,stage_name,spatial_lock
MSB139,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB139.png. Panel MSB139, Clip 15 远处电话亭, time 04:10. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 远景. Beat: 暖光明确. Visual focus: 走廊尽头暖白光变清楚，电话亭轮廓第一次可辨. Character focus: 电话亭/环境. Expression: 无人物或小川远处. Blocking and motion: locked-off. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB139.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB140,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB140.png. Panel MSB140, Clip 15 远处电话亭, time 04:11. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 远景. Beat: 小川远处停住. Visual focus: 小川在走廊中段停下，面对远处电话亭，比例很小. Character focus: 小川/电话亭. Expression: 被召唤，犹豫. Blocking and motion: 身体停住. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB140.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB141,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB141.png. Panel MSB141, Clip 15 远处电话亭, time 04:13. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 中景. Beat: 铃声来源. Visual focus: 小川侧脸听铃声，眼睛看向暖光，红领巾微亮. Character focus: 小川. Expression: 害怕但被吸引. Blocking and motion: 头慢慢抬. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB141.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB142,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB142.png. Panel MSB142, Clip 15 远处电话亭, time 04:15. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 远景. Beat: 电话亭像错误物. Visual focus: 电话亭不合理地嵌在废楼深处，但材质是旧玻璃和金属. Character focus: 电话亭. Expression: 现实错误感. Blocking and motion: 不移动，只发光. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB142.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB143,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB143.png. Panel MSB143, Clip 15 远处电话亭, time 04:17. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 中远景. Beat: 冷暖对比. Visual focus: 冷绿走廊和暖白电话亭形成明确色块，小川夹在中间. Character focus: 环境/小川. Expression: 临界点. Blocking and motion: 构图对称. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB143.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB144,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB144.png. Panel MSB144, Clip 15 远处电话亭, time 04:18. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 全景. Beat: 小川迈出第一步. Visual focus: 小川很慢地向电话亭方向迈一步，不是逃跑. Character focus: 小川. Expression: 被铃声牵引. Blocking and motion: 慢步向前. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB144.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB145,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB145.png. Panel MSB145, Clip 15 远处电话亭, time 04:20. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 中远景. Beat: 电话线细节远现. Visual focus: 电话亭内旧电话和垂下电话线隐约可见. Character focus: 电话亭/道具. Expression: 危险道具出现. Blocking and motion: 微 push-in. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB145.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB146,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,end_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB146.png. Panel MSB146, Clip 15 远处电话亭, time 04:22. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_01_DISTANT_GLOW. Shot size: 远景. Beat: 靠近前停顿. Visual focus: 小川在电话亭前方一段距离停下，暖光照到鞋尖. Character focus: 小川/电话亭. Expression: 最后犹豫. Blocking and motion: 停顿一拍. Continuity anchors: 走廊尽头旧电话亭，暖白微光对冷绿走廊，小川在远处停下. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 科幻设备、现代电话亭、全息屏、其他出口、电话亭移动. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB146.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB147,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB147.png. Panel MSB147, Clip 16 靠近电话亭, time 04:24. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_02_APPROACH_CLOSE. Shot size: 中景. Beat: 电话亭门框前景. Visual focus: 电话亭门框占前景，小川从左侧黑暗靠近. Character focus: 小川/电话亭. Expression: 紧张，被光吸引. Blocking and motion: slow dolly in. Continuity anchors: 小川从左侧黑暗靠近，电话亭暖白光，红领巾、浅绿书包边缘，旧电话亭材质. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 主角变脸、现代电话亭、科幻屏幕、换服装、电话亭位置改变. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB147.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB148,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_PHONE_MSB148.png. Panel MSB148, Clip 16 靠近电话亭, time 04:26. Scene lock: SCN_PHONE. Camera reference: CAM_PHONE_02_APPROACH_CLOSE. Shot size: 近景. Beat: 暖光照红领巾. Visual focus: 暖白光先照到小川红领巾和脸下半部，眼睛仍在阴影里. Character focus: 小川. Expression: 害怕压住呼吸. Blocking and motion: 慢慢前进. Continuity anchors: 小川从左侧黑暗靠近，电话亭暖白光，红领巾、浅绿书包边缘，旧电话亭材质. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 主角变脸、现代电话亭、科幻屏幕、换服装、电话亭位置改变. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_PHONE_MSB148.png; preserve axis, scale, foreground/midground/background, and subject blocking."
