panel_id,batch,clip,clip_title,scene_id,whitebox_required,whitebox_id,planned_whitebox_path,reason,source_camera,layout_focus,character_blocking,pose_or_path,status
MSB001,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB001,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方,环境,locked-off，低机位，轻微前推,planned_panel_whitebox
MSB002,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB002,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉,环境,镜头保持低，建筑线条压迫,planned_panel_whitebox
MSB003,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB003,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚,环境,只允许光轻闪,planned_panel_whitebox
MSB004,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB004,whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落,环境,固定构图，细节可读,planned_panel_whitebox
MSB005,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB005,whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险,环境,微 push-in,planned_panel_whitebox
MSB006,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB006,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头,环境/道具,低角度近景,planned_panel_whitebox
MSB007,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB007,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线,环境,低位广角,planned_panel_whitebox
MSB008,B01,01,老小区建立,SCN_COMPOUND,yes,WB2_COMPOUND_MSB008,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png,已有白模大致可支撑，必要时补,CAM_COMPOUND_01_ESTABLISH,画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近,环境,locked-off,planned_panel_whitebox
MSB009,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB009,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊从画面左后方先出现，双手插兜，装作熟门熟路,阿磊,步子比弟弟大半拍,planned_panel_whitebox
MSB010,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB010,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,小川背浅绿色塌书包跟在半步后，两手攥书包带,小川,肩膀缩，步子短,planned_panel_whitebox
MSB011,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB011,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,小满更小，浅色大衬衫，抓衣角，脚尖内扣地跟上,小满,贴着小川的路线走,planned_panel_whitebox
MSB012,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB012,whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,三兄弟同框，阿磊高一头，小川中间，小满明显更小,三兄弟,三角形站位建立,planned_panel_whitebox
MSB013,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB013,whitebox_renders_v2/B01/WB2_COMPOUND_MSB013.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊半回头催弟弟，手背蹭鼻尖，小川抬眼看他,阿磊/小川,轻微回头，不改变路线,planned_panel_whitebox
MSB014,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB014,whitebox_renders_v2/B01/WB2_COMPOUND_MSB014.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,CRT 光照到小川眼睛和红领巾，小川嘴微张,小川,手仍攥书包带,planned_panel_whitebox
MSB015,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB015,whitebox_renders_v2/B01/WB2_COMPOUND_MSB015.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,小满在后面眨眼，抓衣角更紧，身体往小川背后缩,小满,脚尖内扣停一下,planned_panel_whitebox
MSB016,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB016,whitebox_renders_v2/B01/WB2_COMPOUND_MSB016.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,三兄弟停在门口，门缝光打到鞋尖，阿磊站最前,三兄弟,队形稳定,planned_panel_whitebox
MSB017,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB017,whitebox_renders_v2/B01/WB2_COMPOUND_MSB017.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊的手伸向脏门帘或门边，袖口磨毛清楚,阿磊/道具,手从口袋抽出,planned_panel_whitebox
MSB018,B01,02,三兄弟靠近,SCN_COMPOUND,yes,WB2_COMPOUND_MSB018,whitebox_renders_v2/B01/WB2_COMPOUND_MSB018.png,同场景前进路径和入口/阴影关系需要锁定,CAM_COMPOUND_02_BROTHERS_APPROACH,门帘在三兄弟面前轻晃，三张不同年龄的脸被 CRT 光分层照亮,三兄弟,静止一拍,planned_panel_whitebox
MSB019,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB019,whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,环境/道具,门帘晃动作为隐藏剪辑,planned_panel_whitebox
MSB020,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB020,whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,三兄弟站在入口下方，室内低天花和两侧街机压住他们,三兄弟,站位保持阿磊前、小川中、小满后,planned_panel_whitebox
MSB021,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB021,whitebox_renders_v2/B01/WB2_ARCADE_MSB021.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口,阿磊,向前一步后停,planned_panel_whitebox
MSB022,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB022,whitebox_renders_v2/B01/WB2_ARCADE_MSB022.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚,小川,头部小幅转向街机,planned_panel_whitebox
MSB023,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB023,whitebox_renders_v2/B01/WB2_ARCADE_MSB023.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,小满靠近小川身后，只露半个身体，看向发光屏幕,小满,抓衣角，跟半步,planned_panel_whitebox
MSB024,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB024,whitebox_renders_v2/B01/WB2_ARCADE_MSB024.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,两排旧街机形成狭窄通道，远处有人影但不抢主体,环境,slow dolly in,planned_panel_whitebox
MSB025,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB025,whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,道具,固定近景,planned_panel_whitebox
MSB026,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB026,whitebox_renders_v2/B01/WB2_ARCADE_MSB026.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感,环境,只允许烟雾轻动,planned_panel_whitebox
MSB027,B01,03,游戏厅入口,SCN_ARCADE,yes,WB2_ARCADE_MSB027,whitebox_renders_v2/B01/WB2_ARCADE_MSB027.png,同场景前进路径和入口/阴影关系需要锁定,CAM_ARCADE_01_ENTRANCE_WIDE,三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走,三兄弟,前进方向清楚,planned_panel_whitebox
