shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,pure_prompt,negative_prompt,story_stage,stage_name,spatial_lock
MSB120,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB120.png. Panel MSB120, Clip 13 进入废楼, time 03:36. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 远景. Beat: 入口内反打. Visual focus: 从废楼内部看小川冲进来，外面小路黄光在身后变小. Character focus: 小川/环境. Expression: 惊恐未散. Blocking and motion: 由外到内. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB120.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB121,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB121.png. Panel MSB121, Clip 13 进入废楼, time 03:37. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 中景. Beat: 第一次冷绿光. Visual focus: 冷绿灯管照到小川脸和红领巾，颜色从黄路灯切换. Character focus: 小川. Expression: 不适应，呼吸急. Blocking and motion: 停顿半拍. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB121.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB122,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB122.png. Panel MSB122, Clip 13 进入废楼, time 03:39. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 远景. Beat: 走廊中轴. Visual focus: 长走廊重复门洞和消防箱清楚，小川站在近处很小. Character focus: 环境/小川. Expression: 孤立. Blocking and motion: 中轴透视. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB122.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB123,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB123.png. Panel MSB123, Clip 13 进入废楼, time 03:41. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 全景. Beat: 小川继续跑. Visual focus: 小川沿走廊深处跑，书包晃动变小. Character focus: 小川. Expression: 只想离开. Blocking and motion: 向深处奔跑. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB123.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB124,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB124.png. Panel MSB124, Clip 13 进入废楼, time 03:43. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 特写. Beat: 脚步回声. Visual focus: 白鞋踩过湿冷地面，回声拉长. Character focus: 小川/道具. Expression: 慌乱脚步. Blocking and motion: 脚步快速不稳. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB124.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB125,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB125.png. Panel MSB125, Clip 13 进入废楼, time 03:44. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 中景. Beat: 回头看入口. Visual focus: 小川回头看入口，追兵声像被门口吞掉. Character focus: 小川. Expression: 确认后方但更害怕. Blocking and motion: 头部回看. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB125.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB126,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,C,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB126.png. Panel MSB126, Clip 13 进入废楼, time 03:46. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 近景. Beat: 墙面剥落细节. Visual focus: 发霉墙、旧标语残片、消防箱红色块，建立废楼质感. Character focus: 环境. Expression: 无人物，现实旧物. Blocking and motion: 固定细节. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB126.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB127,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,end_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB127.png. Panel MSB127, Clip 13 进入废楼, time 03:48. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 远景. Beat: 小川变小. Visual focus: 小川跑向深处，身影被重复门洞切碎. Character focus: 小川/环境. Expression: 被空间吞没. Blocking and motion: 低机位慢推. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB127.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB128,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB128.png. Panel MSB128, Clip 13 进入废楼, time 03:50. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_01_ENTRY_LONG. Shot size: 远景. Beat: 走廊空一拍. Visual focus: 小川刚跑出画面，走廊空着，只剩冷绿灯闪. Character focus: 环境. Expression: 追逐声音消失. Blocking and motion: locked-off. Continuity anchors: 废弃单位楼长走廊、冷绿灯管、重复门洞、消防箱、主角单独进入. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 医院走廊、学校走廊、酒店、鬼影怪物、追兵同框太近. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB128.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB129,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B05/WB2_CORRIDOR_MSB129.png. Panel MSB129, Clip 14 无限走廊, time 03:52. Scene lock: SCN_CORRIDOR. Camera reference: CAM_CORRIDOR_02_LOW_TRACK. Shot size: 低机位中景. Beat: 贴墙低位跟拍. Visual focus: 镜头贴着墙面跟小川跑，墙皮近到压迫画面. Character focus: 小川/环境. Expression: 疲惫恐惧. Blocking and motion: 低位 tracking. Continuity anchors: 同一废楼走廊纵深，冷绿荧光灯，重复门洞，电话亭尚未出现. Story stage: S6_CORRIDOR_PHONE_SHOCK / corridor phone shock. Character stage lock: Xiao Chuan enters the abandoned corridor and slows under the phone booth pull.. Wardrobe state: Carry over the escape dirt: wet gray on face, hands, bag strap and sleeves.. Emotion state: Shock, dissociation, listening, moving as if pulled by the ring.. Environment stage lock: Cold green corridor, long perspective, fluorescent flicker, warm white phone booth glow.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 大幅空间扭曲、鬼怪、换成医院学校、180度翻轴、现代电梯. Do not lose the escape dirt; do not return to arcade lighting or show modern phone hardware.",S6_CORRIDOR_PHONE_SHOCK,corridor phone shock,"Follow whitebox_renders_v2/B05/WB2_CORRIDOR_MSB129.png; preserve axis, scale, foreground/midground/background, and subject blocking."
