shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,pure_prompt,negative_prompt,story_stage,stage_name,spatial_lock
MSB170,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB170.png. Panel MSB170, Clip 19 进入8-bit关卡, time 05:08. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版远景. Beat: 横版舞台建立. Visual focus: 废楼走廊变成像素横版舞台，电话亭在背景中右. Character focus: 环境/电话亭. Expression: 游戏规则建立. Blocking and motion: orthographic fixed. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB170.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB171,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB171.png. Panel MSB171, Clip 19 进入8-bit关卡, time 05:10. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版中景. Beat: 像素小川待机. Visual focus: 像素小川站在左侧，蓝白外套、红领巾、浅绿书包色块清楚. Character focus: 小川像素. Expression: 紧张待机，不庆祝. Blocking and motion: 小幅 idle. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB171.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB172,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB172.png. Panel MSB172, Clip 19 进入8-bit关卡, time 05:12. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版全景. Beat: UI 初现. Visual focus: 老街机 UI 边缘出现，血条/分数有限色盘，不遮挡角色. Character focus: UI/环境. Expression: 规则感. Blocking and motion: UI 静止. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB172.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB173,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB173.png. Panel MSB173, Clip 19 进入8-bit关卡, time 05:14. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版全景. Beat: 敌人影子右侧. Visual focus: 四个像素敌人的影子从右侧进入，轮廓差异先出现. Character focus: 混混像素. Expression: 威胁回归. Blocking and motion: 右到左入场. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB173.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB174,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB174.png. Panel MSB174, Clip 19 进入8-bit关卡, time 05:16. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版中景. Beat: 彬子 mini-boss. Visual focus: 短小黑夹克黄发像素敌人站在前方，腰包小色块可读. Character focus: 彬子像素. Expression: 凶但游戏化. Blocking and motion: 前压 idle. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB174.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB175,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB175.png. Panel MSB175, Clip 19 进入8-bit关卡, time 05:18. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版中景. Beat: 高杆长条敌人. Visual focus: 高杆像素敌人长条身形，横臂封路动作保留. Character focus: 高杆像素. Expression: 冷压迫. Blocking and motion: 横臂待机. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB175.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB176,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB176.png. Panel MSB176, Clip 19 进入8-bit关卡, time 05:20. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版全景. Beat: 大海小齐入位. Visual focus: 宽体块大海和抖动小齐进入队形，四人功能清楚. Character focus: 混混像素. Expression: 敌群完整. Blocking and motion: 右侧站位. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB176.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB177,B06,19,进入8-bit关卡,SCN_8BIT,CAM_8BIT_01_STAGE_WIDE,end_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB177.png. Panel MSB177, Clip 19 进入8-bit关卡, time 05:22. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_01_STAGE_WIDE. Shot size: 横版全景. Beat: 战斗开始前静止. Visual focus: 像素小川左侧，四个敌人右侧，电话亭仍在背景，开战前停一拍. Character focus: 全体像素. Expression: 不安而非快乐. Blocking and motion: 全体 idle. Continuity anchors: 废楼走廊展平成90年代横版清版街机，保留电话亭、墙砖、消防箱，小川像素色块. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代手游UI、3D卡通、西方街景、高清动漫、完全换场景. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB177.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB178,B06,20,WIN / INSERT COIN,SCN_8BIT,CAM_8BIT_02_WIN_SCREEN,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB178.png. Panel MSB178, Clip 20 WIN / INSERT COIN, time 05:24. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_02_WIN_SCREEN. Shot size: 横版中景. Beat: 第一下书包旋风. Visual focus: 像素小川用浅绿书包色块形成短促旋风，击退最近敌人. Character focus: 小川像素/敌人. Expression: 被迫反击，不是英雄炫技. Blocking and motion: 动作不超过一拍. Continuity anchors: 横版固定机位，像素小川，四个敌人，书包旋风、硬币冲击波，WIN 后一秒安静，再 INSERT COIN. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 复杂连招、写实血腥、欢乐庆祝、现代UI、改写文字、解释结局. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB178.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB179,B06,20,WIN / INSERT COIN,SCN_8BIT,CAM_8BIT_02_WIN_SCREEN,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B06/WB2_8BIT_MSB179.png. Panel MSB179, Clip 20 WIN / INSERT COIN, time 05:26. Scene lock: SCN_8BIT. Camera reference: CAM_8BIT_02_WIN_SCREEN. Shot size: 横版中景. Beat: 硬币冲击波. Visual focus: 一枚像素硬币从小川方向弹出，形成低分辨率冲击波. Character focus: 小川像素/道具. Expression: 游戏规则接管现实. Blocking and motion: 左到右短促. Continuity anchors: 横版固定机位，像素小川，四个敌人，书包旋风、硬币冲击波，WIN 后一秒安静，再 INSERT COIN. Story stage: S8_8BIT_TRANSLATED / 8-bit translated stage. Character stage lock: The real characters are translated into side-scrolling arcade rules while identity anchors remain.. Wardrobe state: Pixel versions retain red scarf, green bag, yellow hair, body-size differences and earlier dirt logic.. Emotion state: Game-rule intensity, mechanical resolve, then empty win-state stillness.. Environment stage lock: Low-resolution 1990s side-scrolling beat-em-up stage with the phone booth as background anchor.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 复杂连招、写实血腥、欢乐庆祝、现代UI、改写文字、解释结局. Do not use modern mobile-game polish, 3D cartoon style, neon cyberpunk, or high-res fantasy UI.",S8_8BIT_TRANSLATED,8-bit translated stage,"Follow whitebox_renders_v2/B06/WB2_8BIT_MSB179.png; preserve axis, scale, foreground/midground/background, and subject blocking."
