asset_id,pure_path,annotated_path,aspect_ratio,shot_size,subject_position,subject_action,motion_direction,camera_movement,foreground_midground_background,lighting,start_frame,end_frame,needs_middle_frame,generation_risk,fix_plan,hidden_cut_transition,annotation_density
MSB001,visual_assets/pure/micro_storyboard/B01/MSB001_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB001_v001_annotated.png,16:9,远景,环境 / 潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方,空镜压低视线 / locked-off，低机位，轻微前推,locked-off，低机位，轻微前推,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB002,visual_assets/pure/micro_storyboard/B01/MSB002_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB002_v001_annotated.png,16:9,远景,环境 / 发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉,居民楼像迷宫 / 镜头保持低，建筑线条压迫,镜头保持低，建筑线条压迫,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB003,visual_assets/pure/micro_storyboard/B01/MSB003_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB003_v001_annotated.png,16:9,中远景,环境 / 一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚,门缝 CRT 光 / 只允许光轻闪,只允许光轻闪,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,candidate,candidate,"yes, high-risk action or transition needs neighboring panels",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB004,visual_assets/pure/micro_storyboard/B01/MSB004_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB004_v001_annotated.png,16:9,中景,环境 / 旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落,旧招牌细节 / 固定构图，细节可读,固定构图，细节可读,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB005,visual_assets/pure/micro_storyboard/B01/MSB005_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB005_v001_annotated.png,16:9,中远景,环境 / 楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险,楼道暗处 / 微 push-in,微 push-in,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB006,visual_assets/pure/micro_storyboard/B01/MSB006_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB006_v001_annotated.png,16:9,特写,环境/道具 / 潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头,CRT 反光到水面 / 低角度近景,低角度近景,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB007,visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,16:9,远景,环境 / 从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线,空间方向确认 / 低位广角,低位广角,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,yes,no,"yes, high-risk action or transition needs neighboring panels",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB008,visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,16:9,远景,环境 / 画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近,等待人物进入 / locked-off,locked-off,locked-off / very slow push-in,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,yes,"yes, high-risk action or transition needs neighboring panels",现代商铺化、入口漂移,回到 SCN_COMPOUND master 和 CAM_COMPOUND_01,CRT 微光引出三兄弟,"compact, do not cover faces/hands/key props"
MSB009,visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,16:9,全景,阿磊 / 阿磊从画面左后方先出现，双手插兜，装作熟门熟路,阿磊先进画 / 步子比弟弟大半拍,步子比弟弟大半拍,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB010,visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,16:9,全景,小川 / 小川背浅绿色塌书包跟在半步后，两手攥书包带,小川跟半步 / 肩膀缩，步子短,肩膀缩，步子短,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
