shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,pure_prompt,negative_prompt,story_stage,stage_name,spatial_lock
MSB019,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png. Panel MSB019, Clip 03 游戏厅入口, time 00:34. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 近景. Beat: 门帘擦镜. Visual focus: 脏塑料门帘贴着镜头擦过，后面露出旧街机彩光. Character focus: 环境/道具. Expression: 无人物，进入感. Blocking and motion: 门帘晃动作为隐藏剪辑. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB020,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,start_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png. Panel MSB020, Clip 03 游戏厅入口, time 00:35. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 全景. Beat: 三兄弟入口剪影. Visual focus: 三兄弟站在入口下方，室内低天花和两侧街机压住他们. Character focus: 三兄弟. Expression: 被空间吞进去的惊讶. Blocking and motion: 站位保持阿磊前、小川中、小满后. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB021,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB021.png. Panel MSB021, Clip 03 游戏厅入口, time 00:37. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 中景. Beat: 阿磊先迈入. Visual focus: 阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口. Character focus: 阿磊. Expression: 装作熟悉，其实眼睛快速扫动. Blocking and motion: 向前一步后停. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB021.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB022,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB022.png. Panel MSB022, Clip 03 游戏厅入口, time 00:38. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 中景. Beat: 小川看屏幕. Visual focus: 小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚. Character focus: 小川. Expression: 好奇压过害怕. Blocking and motion: 头部小幅转向街机. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB022.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB023,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB023.png. Panel MSB023, Clip 03 游戏厅入口, time 00:40. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 中景. Beat: 小满贴近. Visual focus: 小满靠近小川身后，只露半个身体，看向发光屏幕. Character focus: 小满. Expression: 迟疑，眨眼快. Blocking and motion: 抓衣角，跟半步. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB023.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB024,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,keyframe,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB024.png. Panel MSB024, Clip 03 游戏厅入口, time 00:42. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 广角. Beat: 街机排布. Visual focus: 两排旧街机形成狭窄通道，远处有人影但不抢主体. Character focus: 环境. Expression: 压迫、热闹但脏旧. Blocking and motion: slow dolly in. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB024.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB025,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,B,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png. Panel MSB025, Clip 03 游戏厅入口, time 00:43. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 特写. Beat: 摇杆按钮前景. Visual focus: 磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比. Character focus: 道具. Expression: 无表情，物件记忆. Blocking and motion: 固定近景. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB026,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,C,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB026.png. Panel MSB026, Clip 03 游戏厅入口, time 00:45. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 中远景. Beat: 烟雾和顶灯. Visual focus: 昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感. Character focus: 环境. Expression: 不安的兴奋. Blocking and motion: 只允许烟雾轻动. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB026.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB027,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB027.png. Panel MSB027, Clip 03 游戏厅入口, time 00:46. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 全景. Beat: 三兄弟深入. Visual focus: 三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走. Character focus: 三兄弟. Expression: 兴奋、跟随、被动. Blocking and motion: 前进方向清楚. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB027.png; preserve axis, scale, foreground/midground/background, and subject blocking."
MSB028,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,end_frame,A,"Create a pure cinematic film still for AIGC video generation, 16:9 landscape, high-resolution, photoreal Chinese dreamcore realism, 1990s small-town China, humid yellowed childhood memory, low light, restrained VHS grain, real old clothes, lived-in surfaces, no visible text or annotations. Use the whitebox reference for composition and spatial relationship: whitebox_renders_v2/B01/WB2_ARCADE_MSB028.png. Panel MSB028, Clip 03 游戏厅入口, time 00:48. Scene lock: SCN_ARCADE. Camera reference: CAM_ARCADE_01_ENTRANCE_WIDE. Shot size: 中远景. Beat: 街霸机远处出现. Visual focus: 远处一台街头霸王机器的屏幕更亮，像目标点. Character focus: 环境/道具. Expression: 无人物表情，目标明确. Blocking and motion: 镜头停在机器方向. Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘. Story stage: S1_ARCADE_PLAY / arcade play and humiliation. Character stage lock: The brothers are absorbed by the arcade; Binzi shifts from swagger to humiliation.. Wardrobe state: Children remain clean; CRT light changes color on clothes; bully clothes can be sweaty, not muddy.. Emotion state: Excited play turning into status pressure and embarrassment.. Environment stage lock: Low-ceiling hidden arcade, CRT glow, smoke haze, plastic curtain, cramped machine rows.. Identity locks: A Lei is the tall older brother with old thin metal-frame glasses, a blue worn tracksuit, protective posture, and a habit of pushing his glasses. Xiao Chuan is the middle/protagonist boy with round eyes, a slightly protruding right ear, half-open mouth, red scarf, blue school jacket and green schoolbag, often gripping the bag straps. Xiao Man is the smallest younger brother with a round head, rounder body, timid downcast eyes, warm old vest or pale shirt, hands gripping his hem, toes turned inward. Binzi is the short bully boss with dyed yellow hair and a compact aggressive body. The other three bullies must have distinct tall-thin, heavy, and errand-runner silhouettes. The image must look like a final movie frame or clean keyframe, not a storyboard drawing.","No text, no captions, no Chinese characters, no English letters, no labels, no arrows, no diagrams, no storyboard frame, no contact sheet, no sketch lines, no watermark. Avoid modern phones, modern cars, LED shop signs, polished mall interiors, fashionable contemporary clothes, glossy advertisement lighting, heroic violence, gore, blood focus, glamorized fighting, or characters looking like adults. Avoid panel-specific problems: 现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生. Do not add alley mud, fight injury, corridor lighting, phone booth glow, or 8-bit pixels.",S1_ARCADE_PLAY,arcade play and humiliation,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB028.png; preserve axis, scale, foreground/midground/background, and subject blocking."
