panel_id,clip,clip_title,story_stage,stage_name,character_stage_lock,wardrobe_state,emotion_state,environment_stage_lock,whitebox_reference_path
MSB001,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境 / Character focus: 环境,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，只有潮湿和静默 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png
MSB002,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境 / Character focus: 环境,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，空间有被遗忘感 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png
MSB003,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境 / Character focus: 环境,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，光像诱饵 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png
MSB004,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境 / Character focus: 环境,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，怀旧但不漂亮 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png
MSB005,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境 / Character focus: 环境,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，安静偏僻 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png
MSB006,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境/道具 / Character focus: 环境/道具,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，现实细节 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png
MSB007,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境 / Character focus: 环境,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，路径清楚 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png
MSB008,clip_01,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境 / Character focus: 环境,连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Continuity anchors: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,无人物，悬念 / Emotion state,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png
MSB009,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：阿磊 / Character focus: 阿磊,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,假装镇定，下巴微扬 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png
MSB010,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：小川 / Character focus: 小川,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,紧张又好奇，眼睛看阿磊后背 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png
MSB011,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：小满 / Character focus: 小满,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,茫然，慢半拍 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png
MSB012,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：三兄弟 / Character focus: 三兄弟,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,三种不同反应：逞强、紧张、茫然 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png
