whitebox_id,panel_id,batch,clip,scene_id,planned_whitebox_path,source_camera,layout_focus,character_blocking,pose_or_path,auto_file_ok,auto_image_ok,aspect_ok,exposure_ok,subject_visible,occlusion_ok,camera_position_ok,axis_ok,anchors_ok,adjacent_continuity_ok,panel_specific_ok,qa_status,issue_type,fix_action,approved_by,notes,similarity_ok,similarity_cluster,similarity_reference,similarity_score,composition_reuse_ok,composition_reuse_reason
WB2_COMPOUND_MSB001,MSB001,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png,CAM_COMPOUND_01_ESTABLISH,潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方,环境,locked-off，低机位，轻微前推,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=109.3 std=37.8 center_std=20.5",pass,,,,not_checked,
WB2_COMPOUND_MSB002,MSB002,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png,CAM_COMPOUND_01_ESTABLISH,发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉,环境,镜头保持低，建筑线条压迫,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=105.5 std=33.9 center_std=32.0",pass,,,,not_checked,
WB2_COMPOUND_MSB003,MSB003,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png,CAM_COMPOUND_01_ESTABLISH,一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚,环境,只允许光轻闪,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=94.1 std=38.1 center_std=31.3",pass,,,,not_checked,
WB2_COMPOUND_MSB004,MSB004,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png,CAM_COMPOUND_01_ESTABLISH,旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落,环境,固定构图，细节可读,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=103.4 std=37.0 center_std=31.4",pass,,,,not_checked,
WB2_COMPOUND_MSB005,MSB005,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png,CAM_COMPOUND_01_ESTABLISH,楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险,环境,微 push-in,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=102.5 std=34.0 center_std=30.8",pass,,,,not_checked,
WB2_COMPOUND_MSB006,MSB006,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png,CAM_COMPOUND_01_ESTABLISH,潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头,环境/道具,低角度近景,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=91.6 std=36.6 center_std=30.5",pass,,,,not_checked,
WB2_COMPOUND_MSB007,MSB007,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png,CAM_COMPOUND_01_ESTABLISH,从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线,环境,低位广角,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=99.3 std=35.9 center_std=30.4",pass,,,,not_checked,
WB2_COMPOUND_MSB008,MSB008,B01,01,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png,CAM_COMPOUND_01_ESTABLISH,画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近,环境,locked-off,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=107.3 std=34.0 center_std=30.1",pass,,,,not_checked,
WB2_COMPOUND_MSB009,MSB009,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊从画面左后方先出现，双手插兜，装作熟门熟路,阿磊,步子比弟弟大半拍,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=105.1 std=34.4 center_std=31.6",pass,,,,not_checked,
WB2_COMPOUND_MSB010,MSB010,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png,CAM_COMPOUND_02_BROTHERS_APPROACH,小川背浅绿色塌书包跟在半步后，两手攥书包带,小川,肩膀缩，步子短,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=103.7 std=47.2 center_std=55.2",pass,,,,not_checked,
