panel_id,batch,clip,clip_title,asset_type,priority,planned_path,zh_prompt,negative_prompt,continuity_check,story_stage,stage_name,character_stage_lock,wardrobe_state,environment_stage_lock,whitebox_reference_path
MSB001,B01,01,老小区建立,storyboard,A,micro_storyboard_panels/B01/MSB001_01_空镜压低视线.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB001，段落 01《老小区建立》。景别：远景。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：空镜压低视线。画面焦点：潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方。人物焦点：环境。表情要求：无人物，只有潮湿和静默。姿态/运动路径：locked-off，低机位，轻微前推。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「空镜压低视线」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png
MSB002,B01,01,老小区建立,storyboard,A,micro_storyboard_panels/B01/MSB002_01_居民楼像迷宫.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB002，段落 01《老小区建立》。景别：远景。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：居民楼像迷宫。画面焦点：发黄楼体、铁栏杆、晾衣绳形成遮挡，游戏机房入口几乎被墙角吞掉。人物焦点：环境。表情要求：无人物，空间有被遗忘感。姿态/运动路径：镜头保持低，建筑线条压迫。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「居民楼像迷宫」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png
MSB003,B01,01,老小区建立,keyframe,A,micro_storyboard_panels/B01/MSB003_01_门缝_CRT_光.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB003，段落 01《老小区建立》。景别：中远景。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：门缝 CRT 光。画面焦点：一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚。人物焦点：环境。表情要求：无人物，光像诱饵。姿态/运动路径：只允许光轻闪。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「门缝 CRT 光」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png
MSB004,B01,01,老小区建立,storyboard,B,micro_storyboard_panels/B01/MSB004_01_旧招牌细节.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB004，段落 01《老小区建立》。景别：中景。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：旧招牌细节。画面焦点：旧门头、卷帘门边缘、贴坏的游戏贴纸和墙皮脱落。人物焦点：环境。表情要求：无人物，怀旧但不漂亮。姿态/运动路径：固定构图，细节可读。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「旧招牌细节」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png
MSB005,B01,01,老小区建立,storyboard,B,micro_storyboard_panels/B01/MSB005_01_楼道暗处.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB005，段落 01《老小区建立》。景别：中远景。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：楼道暗处。画面焦点：楼道黑洞和游戏机房门口形成两个入口，观众不确定哪个更危险。人物焦点：环境。表情要求：无人物，安静偏僻。姿态/运动路径：微 push-in。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「楼道暗处」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png
MSB006,B01,01,老小区建立,storyboard,B,micro_storyboard_panels/B01/MSB006_01_CRT_反光到水面.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB006，段落 01《老小区建立》。景别：特写。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：CRT 反光到水面。画面焦点：潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头。人物焦点：环境/道具。表情要求：无人物，现实细节。姿态/运动路径：低角度近景。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境/道具 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「CRT 反光到水面」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境/道具；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境/道具; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境/道具；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境/道具; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png
MSB007,B01,01,老小区建立,start_frame,A,micro_storyboard_panels/B01/MSB007_01_空间方向确认.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB007，段落 01《老小区建立》。景别：远景。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：空间方向确认。画面焦点：从院子深处看向游戏机房角落，给出三兄弟稍后进入的路线。人物焦点：环境。表情要求：无人物，路径清楚。姿态/运动路径：低位广角。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「空间方向确认」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png
MSB008,B01,01,老小区建立,end_frame,A,micro_storyboard_panels/B01/MSB008_01_等待人物进入.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB008，段落 01《老小区建立》。景别：远景。参考机位：CAM_COMPOUND_01_ESTABLISH。本张只画一个画面状态：等待人物进入。画面焦点：画面左后方留出空位，门口 CRT 光稳定，像在等待孩子靠近。人物焦点：环境。表情要求：无人物，悬念。姿态/运动路径：locked-off。连续性锚点：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：现代商业街、明亮商铺、现代招牌、人群拥挤 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 环境 可识别；确认 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 未漂移；确认只表达「等待人物进入」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,角色焦点：环境；连续性：老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Character focus: 环境; continuity: 老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光,老旧居民楼一楼偏僻角落、发黄水泥墙、晾衣绳、破自行车、潮湿地面、门内微弱 CRT 蓝绿光 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png
MSB009,B01,02,三兄弟靠近,storyboard,A,micro_storyboard_panels/B01/MSB009_02_阿磊先进画.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB009，段落 02《三兄弟靠近》。景别：全景。参考机位：CAM_COMPOUND_02_BROTHERS_APPROACH。本张只画一个画面状态：阿磊先进画。画面焦点：阿磊从画面左后方先出现，双手插兜，装作熟门熟路。人物焦点：阿磊。表情要求：假装镇定，下巴微扬。姿态/运动路径：步子比弟弟大半拍。连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：三个孩子同款脸、同款发型、女生、学生队伍、现代校服 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 阿磊 可识别；确认 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 未漂移；确认只表达「阿磊先进画」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：阿磊；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 阿磊; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,角色焦点：阿磊；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 阿磊; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png
MSB010,B01,02,三兄弟靠近,storyboard,A,micro_storyboard_panels/B01/MSB010_02_小川跟半步.png,90年代中国小城，中式梦核现实电影质感，潮湿发黄的童年记忆，低照度，轻微 VHS 噪点，儿童低视角，真实旧衣服和生活痕迹，不漂亮化。人物必须继承 v2 设定：阿磊海军蓝旧运动外套和左眉断点；小川右耳微外翻、过紧红领巾、浅绿色塌书包；小满浅色大衬衫、抓衣角、脚尖内扣；彬子黄发梢、破黑夹克、腰包；高杆高瘦长手臂；大海宽身体褪色 T 恤；小齐条纹内衫和抠袖口。 画面编号 MSB010，段落 02《三兄弟靠近》。景别：全景。参考机位：CAM_COMPOUND_02_BROTHERS_APPROACH。本张只画一个画面状态：小川跟半步。画面焦点：小川背浅绿色塌书包跟在半步后，两手攥书包带。人物焦点：小川。表情要求：紧张又好奇，眼睛看阿磊后背。姿态/运动路径：肩膀缩，步子短。连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落。画面应像可用于电影分镜的单张 production storyboard panel，构图清楚，动作状态明确，不要把前后动作合在一张里 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,不要统一脸型，不要统一发型，不要统一身材，不要童模脸，不要网红脸，不要现代校服，不要现代手机，不要液晶屏，不要女生，不要额外角色，不要成年人黑帮，不要动漫化，不要血腥，不要英雄化暴力。 本张特别避免：三个孩子同款脸、同款发型、女生、学生队伍、现代校服 【部分原文损坏，需从源文件重建 / Partial source text corrupted; rebuild from source】,确认 小川 可识别；确认 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 未漂移；确认只表达「小川跟半步」一个状态。,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：小川；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 小川; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,角色焦点：小川；连续性：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Character focus: 小川; continuity: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png
