order,item_id,timecode,start_sec,end_sec,duration_sec,video_unit_id,video_unit_title,keyframe_role,beat,status,official_generated,current_output_path,output_exists,output_width,output_height,reference_frame,reference_exists,reference_width,reference_height,source_for_status_animatic,source_kind,job_id,job_status,generation_prompt_file
1,OP_SHOT_001,00:00.00,0.0,1.5,1.5,VU_REF003_001_BLACK_CLOUD_FADEIN,黑场到云层蓝天淡入,图1 / black_to_cloud_start,黑场/云层淡入,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_001.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/refs/OP_SHOT_001_ref_000000.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_001.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630,qa_done_6_pass,
2,OP_SHOT_002,00:01.50,1.5,2.5,1.0,VU_REF003_001_BLACK_CLOUD_FADEIN,黑场到云层蓝天淡入,图2 / bright_cloud_sky_reveal,云层蓝天显现,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_002.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/refs/OP_SHOT_002_ref_000150.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_002.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630,qa_done_6_pass,
3,OP_SHOT_003,00:02.50,2.5,5.0,2.5,VU_REF003_002_WHITE_BIRD_SKY,白鸟入画与蓝天滑翔,图1 / bird_entry,白鸟首次入画,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_003.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/refs/OP_SHOT_003_ref_000250.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_003.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630,qa_done_6_pass,
4,OP_SHOT_004,00:05.00,5.0,7.5,2.5,VU_REF003_002_WHITE_BIRD_SKY,白鸟入画与蓝天滑翔,图2 / bird_glide,白鸟滑翔延续,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_004.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/refs/OP_SHOT_004_ref_000500.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_004.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630,qa_done_6_pass,
5,OP_SHOT_005,00:07.50,7.5,11.5,4.0,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,白鸟字幕安全位与云层增长,图1 / no_text_credit_safe_bird,无字职员表安全位,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_005.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/refs/OP_SHOT_005_ref_000750.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_005.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630,qa_done_6_pass,
6,OP_SHOT_006,00:11.50,11.5,15.0,3.5,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,白鸟字幕安全位与云层增长,图2 / cloud_bank_growth,云层增长填画,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_006_v2.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/refs/OP_SHOT_006_ref_001150.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_006_v2.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630,qa_done_6_pass,
7,OP_SHOT_007,00:15.00,15.0,18.5,3.5,VU_REF003_004_AIRCRAFT_BRIEF_REVEAL,飞行器短暂露出,图1 / aircraft_brief_reveal,飞行器短露,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_007.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/refs/OP_SHOT_007_ref_001500.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_007.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02,qa_done_6_pass,
8,OP_SHOT_008,00:18.50,18.5,23.0,4.5,VU_REF003_005_MAIN_TITLE_SAFE_HOLD,主标题功能位无字 hold,图1 / main_title_safe_no_text,主标题无字安全位,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_008_v2.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/refs/OP_SHOT_008_ref_001850.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_008_v2.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02,qa_done_6_pass,
9,OP_SHOT_009,00:23.00,23.0,24.5,1.5,VU_REF003_006_SUN_FLARE_TO_NADIA,太阳光转 Nadia,图1 / sun_flare_transition,太阳光线转场,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_009.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/refs/OP_SHOT_009_ref_002300.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_009.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02,qa_done_6_pass,
10,OP_SHOT_010,00:24.50,24.5,27.0,2.5,VU_REF003_007_NADIA_PROFILE_ENTRY,Nadia 侧脸入场到近景,图1 / Nadia_profile,Nadia 侧脸入场,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_010_v2.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/refs/OP_SHOT_010_ref_002450.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_010_v2.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02,qa_done_6_pass,
11,OP_SHOT_011,00:27.00,27.0,29.0,2.0,VU_REF003_007_NADIA_PROFILE_ENTRY,Nadia 侧脸入场到近景,图2 / Nadia_close,Nadia 正面近景,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_011_v2.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/refs/OP_SHOT_011_ref_002700.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_011_v2.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02,qa_done_6_pass,
12,OP_SHOT_012,00:29.00,29.0,31.5,2.5,VU_REF003_008_JEAN_INTRO,Jean 帽子与少年发明家入场,图1 / Jean_hat_face,Jean 入场,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_012.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/refs/OP_SHOT_012_ref_002900.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_012.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02,qa_done_6_pass,
13,OP_SHOT_013,00:31.50,31.5,34.0,2.5,VU_REF003_009_MARIE_KING_MEADOW,Marie 与 King 草地段,图1 / Marie_King_meadow,Marie 与 King 草地笑点,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_013.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/refs/OP_SHOT_013_ref_003150.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_013.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03,qa_done_6_pass,
14,OP_SHOT_014,00:34.00,34.0,35.5,1.5,VU_REF003_009_MARIE_KING_MEADOW,Marie 与 King 草地段,图2 / Marie_King_close,Marie 与 King 近景,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_014.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/refs/OP_SHOT_014_ref_003400.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_014.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03,qa_done_6_pass,
15,OP_SHOT_015,00:35.50,35.5,37.0,1.5,VU_REF003_010_GRANDIS_TRIO_INTRO,Grandis 三人组介绍,图1 / Grandis_trio_wide,Grandis 三人组宽景,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_015.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/refs/OP_SHOT_015_ref_003550.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_015.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03,qa_done_6_pass,
16,OP_SHOT_016,00:37.00,37.0,38.0,1.0,VU_REF003_010_GRANDIS_TRIO_INTRO,Grandis 三人组介绍,图2 / Grandis_trio_close,Grandis 三人组近景,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_016_v2.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/refs/OP_SHOT_016_ref_003700.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_016_v2.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03,qa_done_6_pass,
17,OP_SHOT_017,00:38.00,38.0,39.5,1.5,VU_REF003_011_RUNNING_MONTAGE,角色奔跑 montage,图1 / Nadia_run_feet,Nadia 奔跑脚步,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_017.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/refs/OP_SHOT_017_ref_003800.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_017.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03,qa_done_6_pass,
18,OP_SHOT_018,00:39.50,39.5,41.5,2.0,VU_REF003_011_RUNNING_MONTAGE,角色奔跑 montage,图2 / Nadia_run_front,Nadia 奔跑正面,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_018.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/refs/OP_SHOT_018_ref_003950.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_018.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03,qa_done_6_pass,
19,OP_SHOT_019,00:41.50,41.5,43.5,2.0,VU_REF003_011_RUNNING_MONTAGE,角色奔跑 montage,图3 / Jean_run,Jean 奔跑,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_019.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/refs/OP_SHOT_019_ref_004150.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_019.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04,qa_done_6_pass,
