shot_id,camera,shot_size,whitebox_reference_path,spatial_lock,blocking,movement
MSB001,CAM_COMPOUND_01_ESTABLISH,远景,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png; preserve axis, scale, foreground/midground/background, and subject blocking.",潮湿地面和破自行车占前景，居民楼底层角落被压在画面右后方,locked-off，低机位，轻微前推
MSB003,CAM_COMPOUND_01_ESTABLISH,中远景,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png; preserve axis, scale, foreground/midground/background, and subject blocking.",一扇不起眼的门里漏出蓝绿 CRT 光，门口杂草和水渍清楚,只允许光轻闪
MSB006,CAM_COMPOUND_01_ESTABLISH,特写,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png; preserve axis, scale, foreground/midground/background, and subject blocking.",潮湿地面水洼反射出微弱 CRT 色块，旁边有碎石和烟头,低角度近景
MSB009,CAM_COMPOUND_02_BROTHERS_APPROACH,全景,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png; preserve axis, scale, foreground/midground/background, and subject blocking.",阿磊从画面左后方先出现，双手插兜，装作熟门熟路,步子比弟弟大半拍
MSB012,CAM_COMPOUND_02_BROTHERS_APPROACH,中远景,whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png,"Follow whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png; preserve axis, scale, foreground/midground/background, and subject blocking.",三兄弟同框，阿磊高一头，小川中间，小满明显更小,三角形站位建立
MSB019,CAM_ARCADE_01_ENTRANCE_WIDE,近景,whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png; preserve axis, scale, foreground/midground/background, and subject blocking.",脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,门帘晃动作为隐藏剪辑
MSB020,CAM_ARCADE_01_ENTRANCE_WIDE,全景,whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png; preserve axis, scale, foreground/midground/background, and subject blocking.",三兄弟站在入口下方，室内低天花和两侧街机压住他们,站位保持阿磊前、小川中、小满后
MSB025,CAM_ARCADE_01_ENTRANCE_WIDE,特写,whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png,"Follow whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png; preserve axis, scale, foreground/midground/background, and subject blocking.",磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,固定近景
MSB058,CAM_ARCADE_EXIT_01_LEAVING,中远景,whitebox_renders_v2/B03/WB2_EXIT_MSB058.png,"Follow whitebox_renders_v2/B03/WB2_EXIT_MSB058.png; preserve axis, scale, foreground/midground/background, and subject blocking.",三兄弟从门内 CRT 彩光走进门外黄路灯，色温切换清楚,从室内到门口
MSB066,CAM_ALLEY_01_WALK_HOME,远景,whitebox_renders_v2/B03/WB2_ALLEY_MSB066.png,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB066.png; preserve axis, scale, foreground/midground/background, and subject blocking.",狭窄小路两侧围墙和杂草，远处旧路灯，路面湿而空,locked-off
MSB074,CAM_ALLEY_01_WALK_HOME,近景,whitebox_renders_v2/B03/WB2_ALLEY_MSB074.png,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB074.png; preserve axis, scale, foreground/midground/background, and subject blocking.",小川不看前方，先看阿磊脸色，笑收住,头转向阿磊
MSB085,CAM_ALLEY_02_BLOCKED,近景,whitebox_renders_v2/B03/WB2_ALLEY_MSB085.png,"Follow whitebox_renders_v2/B03/WB2_ALLEY_MSB085.png; preserve axis, scale, foreground/midground/background, and subject blocking.",彬子越过小路盯住阿磊，旧街机红光记忆从脸上隐约回响,眼神锁定
